model,language,template_id,triple,residualization,subspace_rank,relative_signed_permutation_norm,ratio_to_exact_null_mean,exact_empirical_p
distilbert-base-multilingual-cased,ar,0,NQM,raw,0,0.4710019826889038,0.5974151631618579,0.3684210526315789
distilbert-base-multilingual-cased,ar,0,NQM,remove_sign,1,0.4732021804133457,0.5999917397587302,0.05263157894736842
distilbert-base-multilingual-cased,ar,0,NQM,remove_triple_label,4,0.5481898324517467,0.6022385858982026,0.3684210526315789
distilbert-base-multilingual-cased,ar,0,NQM,remove_endpoint_position,6,0.4917010771727785,0.6103113743181067,0.3684210526315789
distilbert-base-multilingual-cased,ar,0,NQM,remove_triple_plus_position_plus_sign,11,0.5626669079819644,0.6134134809295126,0.2631578947368421
distilbert-base-multilingual-cased,ar,0,NQT,raw,0,0.5615383386611938,0.7313272795581183,0.5789473684210527
distilbert-base-multilingual-cased,ar,0,NQT,remove_sign,1,0.5552410580037418,0.7253448455507331,0.5789473684210527
distilbert-base-multilingual-cased,ar,0,NQT,remove_triple_label,4,0.6264570748919749,0.7400146784113247,0.5789473684210527
distilbert-base-multilingual-cased,ar,0,NQT,remove_endpoint_position,6,0.5771587762202535,0.7474649759364155,0.5789473684210527
distilbert-base-multilingual-cased,ar,0,NQT,remove_triple_plus_position_plus_sign,11,0.6181197106436288,0.7430838162341605,0.5789473684210527
distilbert-base-multilingual-cased,ar,0,NMT,raw,0,0.61713707447052,0.7963874229501593,0.3684210526315789
distilbert-base-multilingual-cased,ar,0,NMT,remove_sign,1,0.6181736361964455,0.7965525069855028,0.3684210526315789
distilbert-base-multilingual-cased,ar,0,NMT,remove_triple_label,4,0.6197132899958684,0.7979968007574032,0.3684210526315789
distilbert-base-multilingual-cased,ar,0,NMT,remove_endpoint_position,6,0.6216333354827334,0.797331852619351,0.3684210526315789
distilbert-base-multilingual-cased,ar,0,NMT,remove_triple_plus_position_plus_sign,11,0.617364750973329,0.7990836339410573,0.3684210526315789
distilbert-base-multilingual-cased,ar,0,QMT,raw,0,0.6650585532188416,0.7167242392654181,0.5789473684210527
distilbert-base-multilingual-cased,ar,0,QMT,remove_sign,1,0.6587611513079643,0.7134484044507375,0.5789473684210527
distilbert-base-multilingual-cased,ar,0,QMT,remove_triple_label,4,0.7449010646663399,0.7210539734521292,0.5789473684210527
distilbert-base-multilingual-cased,ar,0,QMT,remove_endpoint_position,6,0.6924937217809741,0.7361235085364124,0.5789473684210527
distilbert-base-multilingual-cased,ar,0,QMT,remove_triple_plus_position_plus_sign,11,0.7431715045171535,0.728143051500436,0.5789473684210527
distilbert-base-multilingual-cased,ar,1,NQM,raw,0,0.4378163516521454,0.5190763622256543,0.05263157894736842
distilbert-base-multilingual-cased,ar,1,NQM,remove_sign,1,0.4380702911243353,0.522091661643503,0.05263157894736842
distilbert-base-multilingual-cased,ar,1,NQM,remove_triple_label,4,0.5379353925923078,0.5226078585027703,0.3684210526315789
distilbert-base-multilingual-cased,ar,1,NQM,remove_endpoint_position,6,0.43937874519997133,0.5166024356941261,0.3684210526315789
distilbert-base-multilingual-cased,ar,1,NQM,remove_triple_plus_position_plus_sign,11,0.5403905761416199,0.5166335906072226,0.3684210526315789
distilbert-base-multilingual-cased,ar,1,NQT,raw,0,0.5308309197425842,0.6522705852813182,0.5789473684210527
distilbert-base-multilingual-cased,ar,1,NQT,remove_sign,1,0.5266070245093206,0.6481787777450251,0.5789473684210527
distilbert-base-multilingual-cased,ar,1,NQT,remove_triple_label,4,0.5956930114590717,0.6512407358719368,0.2631578947368421
distilbert-base-multilingual-cased,ar,1,NQT,remove_endpoint_position,6,0.5395303675233223,0.6730521780392382,0.5789473684210527
distilbert-base-multilingual-cased,ar,1,NQT,remove_triple_plus_position_plus_sign,11,0.5888595713095262,0.6621890065229925,0.5789473684210527
distilbert-base-multilingual-cased,ar,1,NMT,raw,0,0.576417088508606,0.76301938981696,0.3684210526315789
distilbert-base-multilingual-cased,ar,1,NMT,remove_sign,1,0.576197515418648,0.7635558516335581,0.3684210526315789
distilbert-base-multilingual-cased,ar,1,NMT,remove_triple_label,4,0.5891413354111077,0.7649079060041712,0.3684210526315789
distilbert-base-multilingual-cased,ar,1,NMT,remove_endpoint_position,6,0.5646442764976072,0.7562503491085567,0.3684210526315789
distilbert-base-multilingual-cased,ar,1,NMT,remove_triple_plus_position_plus_sign,11,0.5752226874781216,0.7587469634209765,0.3684210526315789
distilbert-base-multilingual-cased,ar,1,QMT,raw,0,0.46426090598106384,0.6532871896433272,0.5789473684210527
distilbert-base-multilingual-cased,ar,1,QMT,remove_sign,1,0.4611349208213698,0.655708743117215,0.5789473684210527
distilbert-base-multilingual-cased,ar,1,QMT,remove_triple_label,4,0.5494484672609928,0.6551963051270537,0.5789473684210527
distilbert-base-multilingual-cased,ar,1,QMT,remove_endpoint_position,6,0.4758254663025696,0.6712971590883492,0.5789473684210527
distilbert-base-multilingual-cased,ar,1,QMT,remove_triple_plus_position_plus_sign,11,0.5581349581455242,0.6634538111167243,0.5789473684210527
distilbert-base-multilingual-cased,ar,2,NQM,raw,0,0.42910751700401306,0.5017754801670775,0.3684210526315789
distilbert-base-multilingual-cased,ar,2,NQM,remove_sign,1,0.4309118320160367,0.5026622224535305,0.3684210526315789
distilbert-base-multilingual-cased,ar,2,NQM,remove_triple_label,4,0.5033704270283667,0.5040736688727988,0.05263157894736842
distilbert-base-multilingual-cased,ar,2,NQM,remove_endpoint_position,6,0.4462322538064752,0.5042469105867758,0.3684210526315789
distilbert-base-multilingual-cased,ar,2,NQM,remove_triple_plus_position_plus_sign,11,0.5171850350781417,0.5054759297598158,0.3684210526315789
distilbert-base-multilingual-cased,ar,2,NQT,raw,0,0.6280270218849182,0.8640121473681305,0.5789473684210527
distilbert-base-multilingual-cased,ar,2,NQT,remove_sign,1,0.6209622572445497,0.8587495313774925,0.5789473684210527
distilbert-base-multilingual-cased,ar,2,NQT,remove_triple_label,4,0.6924032351810969,0.8588641029767166,0.5789473684210527
distilbert-base-multilingual-cased,ar,2,NQT,remove_endpoint_position,6,0.6517012892445077,0.8763224873400769,0.7894736842105263
distilbert-base-multilingual-cased,ar,2,NQT,remove_triple_plus_position_plus_sign,11,0.707609079838541,0.8675487412333611,0.3684210526315789
distilbert-base-multilingual-cased,ar,2,NMT,raw,0,0.7293007373809814,0.857593661585537,0.8947368421052632
distilbert-base-multilingual-cased,ar,2,NMT,remove_sign,1,0.7304651714602983,0.857920307699099,0.8947368421052632
distilbert-base-multilingual-cased,ar,2,NMT,remove_triple_label,4,0.7299667545560147,0.853212300880273,0.7894736842105263
distilbert-base-multilingual-cased,ar,2,NMT,remove_endpoint_position,6,0.7285920044663164,0.8588402290922267,0.8947368421052632
distilbert-base-multilingual-cased,ar,2,NMT,remove_triple_plus_position_plus_sign,11,0.7288334115353807,0.8533943922655286,0.7894736842105263
distilbert-base-multilingual-cased,ar,2,QMT,raw,0,0.6427381038665771,0.8279304042386654,0.5789473684210527
distilbert-base-multilingual-cased,ar,2,QMT,remove_sign,1,0.6392669397510728,0.8282161182745517,0.2631578947368421
distilbert-base-multilingual-cased,ar,2,QMT,remove_triple_label,4,0.7459515252860599,0.8220000000024633,0.5789473684210527
distilbert-base-multilingual-cased,ar,2,QMT,remove_endpoint_position,6,0.6606888428256675,0.84827234887284,0.5789473684210527
distilbert-base-multilingual-cased,ar,2,QMT,remove_triple_plus_position_plus_sign,11,0.7665243744926045,0.8432186570435221,0.5789473684210527
distilbert-base-multilingual-cased,ar,3,NQM,raw,0,0.5202599167823792,0.5887151221004436,0.3684210526315789
distilbert-base-multilingual-cased,ar,3,NQM,remove_sign,1,0.5140853888996233,0.5856238753442305,0.3684210526315789
distilbert-base-multilingual-cased,ar,3,NQM,remove_triple_label,4,0.5893501394966854,0.5925380605148595,0.3684210526315789
distilbert-base-multilingual-cased,ar,3,NQM,remove_endpoint_position,6,0.5201715904725693,0.6058323493662018,0.3684210526315789
distilbert-base-multilingual-cased,ar,3,NQM,remove_triple_plus_position_plus_sign,11,0.5811725144781534,0.612523145696075,0.3684210526315789
