model,language,triple,residualization,mean_ratio_to_exact_null,frac_below_null,mean_subspace_rank,n
bert-base-multilingual-cased,ar,NMT,raw,0.7723469997820497,1.0,0.0,96
bert-base-multilingual-cased,ar,NMT,remove_endpoint_position,0.7722986733222778,1.0,6.0,96
bert-base-multilingual-cased,ar,NMT,remove_sign,0.7719376922408777,1.0,1.0,96
bert-base-multilingual-cased,ar,NMT,remove_triple_label,0.7719634147785829,1.0,4.0,96
bert-base-multilingual-cased,ar,NMT,remove_triple_plus_position_plus_sign,0.7720390080870113,1.0,11.0,96
bert-base-multilingual-cased,ar,NQM,raw,0.5353171441919102,1.0,0.0,96
bert-base-multilingual-cased,ar,NQM,remove_endpoint_position,0.5346428618855735,1.0,6.0,96
bert-base-multilingual-cased,ar,NQM,remove_sign,0.5347149137529786,1.0,1.0,96
bert-base-multilingual-cased,ar,NQM,remove_triple_label,0.5314565822260955,1.0,4.0,96
bert-base-multilingual-cased,ar,NQM,remove_triple_plus_position_plus_sign,0.5294575343610647,1.0,11.0,96
bert-base-multilingual-cased,ar,NQT,raw,0.7056853843273531,1.0,0.0,96
bert-base-multilingual-cased,ar,NQT,remove_endpoint_position,0.7078318836735954,1.0,6.0,96
bert-base-multilingual-cased,ar,NQT,remove_sign,0.7045052984662572,1.0,1.0,96
bert-base-multilingual-cased,ar,NQT,remove_triple_label,0.7075225354539048,1.0,4.0,96
bert-base-multilingual-cased,ar,NQT,remove_triple_plus_position_plus_sign,0.7057576423680048,1.0,11.0,96
bert-base-multilingual-cased,ar,QMT,raw,0.7255596175627899,1.0,0.0,96
bert-base-multilingual-cased,ar,QMT,remove_endpoint_position,0.7274209892610838,1.0,6.0,96
bert-base-multilingual-cased,ar,QMT,remove_sign,0.7244951160627031,1.0,1.0,96
bert-base-multilingual-cased,ar,QMT,remove_triple_label,0.7323131594276737,1.0,4.0,96
bert-base-multilingual-cased,ar,QMT,remove_triple_plus_position_plus_sign,0.7329895622591969,1.0,11.0,96
bert-base-multilingual-cased,de,NMT,raw,0.6919061080231154,1.0,0.0,96
bert-base-multilingual-cased,de,NMT,remove_endpoint_position,0.6930344104112568,1.0,6.0,96
bert-base-multilingual-cased,de,NMT,remove_sign,0.6918812223516263,1.0,1.0,96
bert-base-multilingual-cased,de,NMT,remove_triple_label,0.6938529506697098,1.0,4.0,96
bert-base-multilingual-cased,de,NMT,remove_triple_plus_position_plus_sign,0.6929563547767419,1.0,11.0,96
bert-base-multilingual-cased,de,NQM,raw,0.5256842095824225,1.0,0.0,96
bert-base-multilingual-cased,de,NQM,remove_endpoint_position,0.5321861745382036,1.0,6.0,96
bert-base-multilingual-cased,de,NQM,remove_sign,0.5227112599564053,1.0,1.0,96
bert-base-multilingual-cased,de,NQM,remove_triple_label,0.5258818335187931,1.0,4.0,96
bert-base-multilingual-cased,de,NQM,remove_triple_plus_position_plus_sign,0.5312962869029124,1.0,11.0,96
bert-base-multilingual-cased,de,NQT,raw,0.6542183041992994,1.0,0.0,96
bert-base-multilingual-cased,de,NQT,remove_endpoint_position,0.6586348756971183,1.0,6.0,96
bert-base-multilingual-cased,de,NQT,remove_sign,0.6478350448473609,1.0,1.0,96
bert-base-multilingual-cased,de,NQT,remove_triple_label,0.6562887414682965,1.0,4.0,96
bert-base-multilingual-cased,de,NQT,remove_triple_plus_position_plus_sign,0.6652410120074702,1.0,11.0,96
bert-base-multilingual-cased,de,QMT,raw,0.561712356692588,1.0,0.0,96
bert-base-multilingual-cased,de,QMT,remove_endpoint_position,0.5652107339987879,1.0,6.0,96
bert-base-multilingual-cased,de,QMT,remove_sign,0.5605856607334435,1.0,1.0,96
