model,language,triple,residualization,mean_ratio_to_exact_null,frac_below_null,mean_subspace_rank,n
distilbert-base-multilingual-cased,ar,NMT,raw,0.7984826377932941,1.0,0.0,96
distilbert-base-multilingual-cased,ar,NMT,remove_endpoint_position,0.7981794056056547,1.0,6.0,96
distilbert-base-multilingual-cased,ar,NMT,remove_sign,0.798588433241235,1.0,1.0,96
distilbert-base-multilingual-cased,ar,NMT,remove_triple_label,0.7991007519235273,1.0,4.0,96
distilbert-base-multilingual-cased,ar,NMT,remove_triple_plus_position_plus_sign,0.7991902805502024,1.0,11.0,96
distilbert-base-multilingual-cased,ar,NQM,raw,0.5538535591866994,1.0,0.0,96
distilbert-base-multilingual-cased,ar,NQM,remove_endpoint_position,0.5585207554586319,1.0,6.0,96
distilbert-base-multilingual-cased,ar,NQM,remove_sign,0.552306316400889,1.0,1.0,96
distilbert-base-multilingual-cased,ar,NQM,remove_triple_label,0.5541422103100374,1.0,4.0,96
distilbert-base-multilingual-cased,ar,NQM,remove_triple_plus_position_plus_sign,0.5558091992375479,1.0,11.0,96
distilbert-base-multilingual-cased,ar,NQT,raw,0.7395871838896527,1.0,0.0,96
distilbert-base-multilingual-cased,ar,NQT,remove_endpoint_position,0.7606369601757138,1.0,6.0,96
distilbert-base-multilingual-cased,ar,NQT,remove_sign,0.7386329305667143,1.0,1.0,96
distilbert-base-multilingual-cased,ar,NQT,remove_triple_label,0.742016213650419,1.0,4.0,96
distilbert-base-multilingual-cased,ar,NQT,remove_triple_plus_position_plus_sign,0.7550011207841861,1.0,11.0,96
distilbert-base-multilingual-cased,ar,QMT,raw,0.72008929632715,1.0,0.0,96
distilbert-base-multilingual-cased,ar,QMT,remove_endpoint_position,0.7198047259219426,1.0,6.0,96
distilbert-base-multilingual-cased,ar,QMT,remove_sign,0.7105578019774659,1.0,1.0,96
distilbert-base-multilingual-cased,ar,QMT,remove_triple_label,0.7246448850261324,1.0,4.0,96
distilbert-base-multilingual-cased,ar,QMT,remove_triple_plus_position_plus_sign,0.711553499912882,1.0,11.0,96
distilbert-base-multilingual-cased,de,NMT,raw,0.780539534932061,1.0,0.0,96
distilbert-base-multilingual-cased,de,NMT,remove_endpoint_position,0.782335084848721,1.0,6.0,96
distilbert-base-multilingual-cased,de,NMT,remove_sign,0.7803385068364767,1.0,1.0,96
distilbert-base-multilingual-cased,de,NMT,remove_triple_label,0.7793151687415302,1.0,4.0,96
distilbert-base-multilingual-cased,de,NMT,remove_triple_plus_position_plus_sign,0.7792785706419364,1.0,11.0,96
distilbert-base-multilingual-cased,de,NQM,raw,0.6084189791987583,1.0,0.0,96
distilbert-base-multilingual-cased,de,NQM,remove_endpoint_position,0.6437070894726864,1.0,6.0,96
distilbert-base-multilingual-cased,de,NQM,remove_sign,0.6091493690805033,1.0,1.0,96
distilbert-base-multilingual-cased,de,NQM,remove_triple_label,0.5951485908510172,1.0,4.0,96
distilbert-base-multilingual-cased,de,NQM,remove_triple_plus_position_plus_sign,0.6344348515300687,1.0,11.0,96
distilbert-base-multilingual-cased,de,NQT,raw,0.691825427901488,1.0,0.0,96
distilbert-base-multilingual-cased,de,NQT,remove_endpoint_position,0.6915538749920337,1.0,6.0,96
distilbert-base-multilingual-cased,de,NQT,remove_sign,0.6914349434605681,1.0,1.0,96
distilbert-base-multilingual-cased,de,NQT,remove_triple_label,0.6893300763092887,1.0,4.0,96
distilbert-base-multilingual-cased,de,NQT,remove_triple_plus_position_plus_sign,0.6973615591605223,1.0,11.0,96
distilbert-base-multilingual-cased,de,QMT,raw,0.5183381199378663,1.0,0.0,96
distilbert-base-multilingual-cased,de,QMT,remove_endpoint_position,0.5193891215953382,1.0,6.0,96
distilbert-base-multilingual-cased,de,QMT,remove_sign,0.5189221287303285,1.0,1.0,96
distilbert-base-multilingual-cased,de,QMT,remove_triple_label,0.5178178061525063,1.0,4.0,96
distilbert-base-multilingual-cased,de,QMT,remove_triple_plus_position_plus_sign,0.524999922519409,1.0,11.0,96
distilbert-base-multilingual-cased,en,NMT,raw,0.7725257167514202,1.0,0.0,96
distilbert-base-multilingual-cased,en,NMT,remove_endpoint_position,0.7656773364890354,1.0,6.0,96
distilbert-base-multilingual-cased,en,NMT,remove_sign,0.7704440301005387,1.0,1.0,96
distilbert-base-multilingual-cased,en,NMT,remove_triple_label,0.7673325445187507,1.0,4.0,96
distilbert-base-multilingual-cased,en,NMT,remove_triple_plus_position_plus_sign,0.7644718468177424,1.0,11.0,96
distilbert-base-multilingual-cased,en,NQM,raw,0.4793317649138731,1.0,0.0,96
distilbert-base-multilingual-cased,en,NQM,remove_endpoint_position,0.4809536046877749,1.0,6.0,96
distilbert-base-multilingual-cased,en,NQM,remove_sign,0.47522802271261577,1.0,1.0,96
distilbert-base-multilingual-cased,en,NQM,remove_triple_label,0.4838686953478297,1.0,4.0,96
distilbert-base-multilingual-cased,en,NQM,remove_triple_plus_position_plus_sign,0.48834770613161327,1.0,11.0,96
distilbert-base-multilingual-cased,en,NQT,raw,0.6677646544996366,1.0,0.0,96
distilbert-base-multilingual-cased,en,NQT,remove_endpoint_position,0.6741302560386558,1.0,6.0,96
distilbert-base-multilingual-cased,en,NQT,remove_sign,0.6650373262419852,1.0,1.0,96
distilbert-base-multilingual-cased,en,NQT,remove_triple_label,0.6728546507807893,1.0,4.0,96
distilbert-base-multilingual-cased,en,NQT,remove_triple_plus_position_plus_sign,0.6872698026278417,1.0,11.0,96
distilbert-base-multilingual-cased,en,QMT,raw,0.582117820723218,1.0,0.0,96
