model,language,triple,residualization,mean_ratio_to_exact_null,frac_below_null,mean_subspace_rank,n
intfloat/multilingual-e5-large,ar,NMT,raw,0.6761369803926489,1.0,0.0,96
intfloat/multilingual-e5-large,ar,NMT,remove_endpoint_position,0.6824543772906928,1.0,6.0,96
intfloat/multilingual-e5-large,ar,NMT,remove_sign,0.6760250177041383,1.0,1.0,96
intfloat/multilingual-e5-large,ar,NMT,remove_triple_label,0.6753596251001089,1.0,4.0,96
intfloat/multilingual-e5-large,ar,NMT,remove_triple_plus_position_plus_sign,0.6812626741181956,1.0,11.0,96
intfloat/multilingual-e5-large,ar,NQM,raw,0.45136268223605297,1.0,0.0,96
intfloat/multilingual-e5-large,ar,NQM,remove_endpoint_position,0.4489611153033726,1.0,6.0,96
intfloat/multilingual-e5-large,ar,NQM,remove_sign,0.4506147783429209,1.0,1.0,96
intfloat/multilingual-e5-large,ar,NQM,remove_triple_label,0.4548780893200744,1.0,4.0,96
intfloat/multilingual-e5-large,ar,NQM,remove_triple_plus_position_plus_sign,0.45166710873640675,1.0,11.0,96
intfloat/multilingual-e5-large,ar,NQT,raw,0.574303386329862,1.0,0.0,96
intfloat/multilingual-e5-large,ar,NQT,remove_endpoint_position,0.5750154404877974,1.0,6.0,96
intfloat/multilingual-e5-large,ar,NQT,remove_sign,0.5722762794174597,1.0,1.0,96
intfloat/multilingual-e5-large,ar,NQT,remove_triple_label,0.5730237023099695,1.0,4.0,96
intfloat/multilingual-e5-large,ar,NQT,remove_triple_plus_position_plus_sign,0.5661062863134215,1.0,11.0,96
intfloat/multilingual-e5-large,ar,QMT,raw,0.46956661558412555,1.0,0.0,96
intfloat/multilingual-e5-large,ar,QMT,remove_endpoint_position,0.47726266614786333,1.0,6.0,96
intfloat/multilingual-e5-large,ar,QMT,remove_sign,0.4688589349154623,1.0,1.0,96
intfloat/multilingual-e5-large,ar,QMT,remove_triple_label,0.46758693834217085,1.0,4.0,96
intfloat/multilingual-e5-large,ar,QMT,remove_triple_plus_position_plus_sign,0.47067342284372443,1.0,11.0,96
intfloat/multilingual-e5-large,de,NMT,raw,0.7727934241043001,1.0,0.0,96
intfloat/multilingual-e5-large,de,NMT,remove_endpoint_position,0.7764455564022129,1.0,6.0,96
intfloat/multilingual-e5-large,de,NMT,remove_sign,0.7739529106560347,1.0,1.0,96
intfloat/multilingual-e5-large,de,NMT,remove_triple_label,0.7706863173069092,1.0,4.0,96
intfloat/multilingual-e5-large,de,NMT,remove_triple_plus_position_plus_sign,0.775342541415274,1.0,11.0,96
intfloat/multilingual-e5-large,de,NQM,raw,0.6394046857434179,1.0,0.0,96
intfloat/multilingual-e5-large,de,NQM,remove_endpoint_position,0.6083275178251092,1.0,6.0,96
intfloat/multilingual-e5-large,de,NQM,remove_sign,0.5989679244670131,1.0,1.0,96
intfloat/multilingual-e5-large,de,NQM,remove_triple_label,0.6610135162220453,1.0,4.0,96
intfloat/multilingual-e5-large,de,NQM,remove_triple_plus_position_plus_sign,0.6255306461818009,1.0,11.0,96
intfloat/multilingual-e5-large,de,NQT,raw,0.7652273607432466,1.0,0.0,96
intfloat/multilingual-e5-large,de,NQT,remove_endpoint_position,0.7446387894553149,1.0,6.0,96
intfloat/multilingual-e5-large,de,NQT,remove_sign,0.7455870229424136,1.0,1.0,96
intfloat/multilingual-e5-large,de,NQT,remove_triple_label,0.7904186778539164,1.0,4.0,96
intfloat/multilingual-e5-large,de,NQT,remove_triple_plus_position_plus_sign,0.7702848503573443,1.0,11.0,96
intfloat/multilingual-e5-large,de,QMT,raw,0.6487256520868608,1.0,0.0,96
intfloat/multilingual-e5-large,de,QMT,remove_endpoint_position,0.6709661363785971,1.0,6.0,96
intfloat/multilingual-e5-large,de,QMT,remove_sign,0.6520817261172323,1.0,1.0,96
intfloat/multilingual-e5-large,de,QMT,remove_triple_label,0.6482763986399495,1.0,4.0,96
intfloat/multilingual-e5-large,de,QMT,remove_triple_plus_position_plus_sign,0.673922567948234,1.0,11.0,96
intfloat/multilingual-e5-large,en,NMT,raw,0.7771551994108411,1.0,0.0,96
intfloat/multilingual-e5-large,en,NMT,remove_endpoint_position,0.7695814390243574,1.0,6.0,96
intfloat/multilingual-e5-large,en,NMT,remove_sign,0.775652647460622,1.0,1.0,96
intfloat/multilingual-e5-large,en,NMT,remove_triple_label,0.7747783550736463,1.0,4.0,96
intfloat/multilingual-e5-large,en,NMT,remove_triple_plus_position_plus_sign,0.7692907531450652,1.0,11.0,96
intfloat/multilingual-e5-large,en,NQM,raw,0.6598671675826139,1.0,0.0,96
intfloat/multilingual-e5-large,en,NQM,remove_endpoint_position,0.6500202435199434,1.0,6.0,96
intfloat/multilingual-e5-large,en,NQM,remove_sign,0.6420323778404321,1.0,1.0,96
intfloat/multilingual-e5-large,en,NQM,remove_triple_label,0.6694609753535449,1.0,4.0,96
intfloat/multilingual-e5-large,en,NQM,remove_triple_plus_position_plus_sign,0.6551323877907644,1.0,11.0,96
intfloat/multilingual-e5-large,en,NQT,raw,0.7400535939436095,1.0,0.0,96
intfloat/multilingual-e5-large,en,NQT,remove_endpoint_position,0.7345444985380568,1.0,6.0,96
intfloat/multilingual-e5-large,en,NQT,remove_sign,0.7301100710485314,1.0,1.0,96
intfloat/multilingual-e5-large,en,NQT,remove_triple_label,0.7487568559347048,1.0,4.0,96
intfloat/multilingual-e5-large,en,NQT,remove_triple_plus_position_plus_sign,0.7355483416559196,1.0,11.0,96
intfloat/multilingual-e5-large,en,QMT,raw,0.7186751234566424,1.0,0.0,96
intfloat/multilingual-e5-large,en,QMT,remove_endpoint_position,0.7285242204712593,1.0,6.0,96
intfloat/multilingual-e5-large,en,QMT,remove_sign,0.7199284935958669,1.0,1.0,96
intfloat/multilingual-e5-large,en,QMT,remove_triple_label,0.7075725368875836,1.0,4.0,96
intfloat/multilingual-e5-large,en,QMT,remove_triple_plus_position_plus_sign,0.7127174197411642,1.0,11.0,96
intfloat/multilingual-e5-large,es,NMT,raw,0.698806116171434,1.0,0.0,96
intfloat/multilingual-e5-large,es,NMT,remove_endpoint_position,0.7101355106094868,1.0,6.0,96
intfloat/multilingual-e5-large,es,NMT,remove_sign,0.7010117955627018,1.0,1.0,96
intfloat/multilingual-e5-large,es,NMT,remove_triple_label,0.6942045391234181,1.0,4.0,96
intfloat/multilingual-e5-large,es,NMT,remove_triple_plus_position_plus_sign,0.7103081200131801,1.0,11.0,96
intfloat/multilingual-e5-large,es,NQM,raw,0.5839119095746931,1.0,0.0,96
intfloat/multilingual-e5-large,es,NQM,remove_endpoint_position,0.5766202239179764,1.0,6.0,96
intfloat/multilingual-e5-large,es,NQM,remove_sign,0.5693392129709358,1.0,1.0,96
intfloat/multilingual-e5-large,es,NQM,remove_triple_label,0.5830543076626616,1.0,4.0,96
intfloat/multilingual-e5-large,es,NQM,remove_triple_plus_position_plus_sign,0.577863420102105,1.0,11.0,96
intfloat/multilingual-e5-large,es,NQT,raw,0.7369208938543838,1.0,0.0,96
intfloat/multilingual-e5-large,es,NQT,remove_endpoint_position,0.7439234937109807,1.0,6.0,96
intfloat/multilingual-e5-large,es,NQT,remove_sign,0.7293094657237819,1.0,1.0,96
intfloat/multilingual-e5-large,es,NQT,remove_triple_label,0.7318679987699345,1.0,4.0,96
intfloat/multilingual-e5-large,es,NQT,remove_triple_plus_position_plus_sign,0.736162781200638,1.0,11.0,96
intfloat/multilingual-e5-large,es,QMT,raw,0.6594315586977214,1.0,0.0,96
intfloat/multilingual-e5-large,es,QMT,remove_endpoint_position,0.6887049742365706,1.0,6.0,96
intfloat/multilingual-e5-large,es,QMT,remove_sign,0.6621279921212575,1.0,1.0,96
intfloat/multilingual-e5-large,es,QMT,remove_triple_label,0.623293044739072,1.0,4.0,96
intfloat/multilingual-e5-large,es,QMT,remove_triple_plus_position_plus_sign,0.6595542341808093,1.0,11.0,96
intfloat/multilingual-e5-large,fr,NMT,raw,0.7901098792493501,1.0,0.0,96
intfloat/multilingual-e5-large,fr,NMT,remove_endpoint_position,0.7925265452124369,1.0,6.0,96
intfloat/multilingual-e5-large,fr,NMT,remove_sign,0.7874937277406059,1.0,1.0,96
intfloat/multilingual-e5-large,fr,NMT,remove_triple_label,0.7869924149761203,1.0,4.0,96
intfloat/multilingual-e5-large,fr,NMT,remove_triple_plus_position_plus_sign,0.7962495742232406,1.0,11.0,96
intfloat/multilingual-e5-large,fr,NQM,raw,0.6230487730446105,1.0,0.0,96
intfloat/multilingual-e5-large,fr,NQM,remove_endpoint_position,0.6178457752218577,1.0,6.0,96
intfloat/multilingual-e5-large,fr,NQM,remove_sign,0.598831104463359,1.0,1.0,96
intfloat/multilingual-e5-large,fr,NQM,remove_triple_label,0.6237550373056293,1.0,4.0,96
