model,mode,within_class_mean_cosine,between_class_mean_cosine,separation_delta
bert-base-uncased,final,0.3996159760946674,0.0911208078640963,0.3084951682305711
bert-base-uncased,all_layers_flat,0.602042686548971,0.10740520831721673,0.49463747823175425
bert-base-uncased,transition_dynamics_flat,0.46684716251634417,0.08452060485776774,0.3823265576585764
roberta-base,final,0.6840216881994691,0.2119687078986317,0.47205298030083737
roberta-base,all_layers_flat,0.6825018436426208,0.16427242439422116,0.5182294192483996
roberta-base,transition_dynamics_flat,0.5169451250916436,0.098350418320418,0.41859470677122557
distilroberta-base,final,0.8170888899337678,0.26541518815962867,0.5516737017741391
distilroberta-base,all_layers_flat,0.7807736893494924,0.16903177031987676,0.6117419190296156
distilroberta-base,transition_dynamics_flat,0.6278897990428266,0.10408252687431438,0.5238072721685122
distilgpt2,final,0.6651317768264562,0.2270884956355682,0.438043281190888
distilgpt2,all_layers_flat,0.8912335650640584,0.5438752345081108,0.34735833055594756
distilgpt2,transition_dynamics_flat,0.8609359228894824,0.5267629863098591,0.3341729365796233
gpt2,final,0.7016931968447309,0.2807521790280589,0.420941017816672
gpt2,all_layers_flat,0.9027133286886272,0.5502765091504747,0.35243681953815253
gpt2,transition_dynamics_flat,0.863176757514122,0.5022612402982001,0.36091551721592197
