model,kind,label,language_a,language_b,centroid_cosine
BAAI/bge-m3,pair_commutator,MT_vs_TM,ar,de,-0.014543987810611725
BAAI/bge-m3,pair_commutator,MT_vs_TM,ar,en,0.029529128223657608
BAAI/bge-m3,pair_commutator,MT_vs_TM,ar,es,0.034080639481544495
BAAI/bge-m3,pair_commutator,MT_vs_TM,ar,fr,0.012982547283172607
BAAI/bge-m3,pair_commutator,MT_vs_TM,ar,ru,-0.0246565118432045
BAAI/bge-m3,pair_commutator,MT_vs_TM,ar,zh,0.0
BAAI/bge-m3,pair_commutator,MT_vs_TM,de,en,0.44230562448501587
BAAI/bge-m3,pair_commutator,MT_vs_TM,de,es,0.4530298709869385
BAAI/bge-m3,pair_commutator,MT_vs_TM,de,fr,0.48850202560424805
BAAI/bge-m3,pair_commutator,MT_vs_TM,de,ru,0.21400874853134155
BAAI/bge-m3,pair_commutator,MT_vs_TM,de,zh,0.0
BAAI/bge-m3,pair_commutator,MT_vs_TM,en,es,0.4929562211036682
BAAI/bge-m3,pair_commutator,MT_vs_TM,en,fr,0.46981728076934814
BAAI/bge-m3,pair_commutator,MT_vs_TM,en,ru,0.26530972123146057
BAAI/bge-m3,pair_commutator,MT_vs_TM,en,zh,0.0
BAAI/bge-m3,pair_commutator,MT_vs_TM,es,fr,0.6190570592880249
BAAI/bge-m3,pair_commutator,MT_vs_TM,es,ru,0.45418569445610046
BAAI/bge-m3,pair_commutator,MT_vs_TM,es,zh,0.0
BAAI/bge-m3,pair_commutator,MT_vs_TM,fr,ru,0.43421030044555664
BAAI/bge-m3,pair_commutator,MT_vs_TM,fr,zh,0.0
BAAI/bge-m3,pair_commutator,MT_vs_TM,ru,zh,0.0
BAAI/bge-m3,pair_commutator,NM_vs_MN,ar,de,-0.003306848928332329
BAAI/bge-m3,pair_commutator,NM_vs_MN,ar,en,0.0662776306271553
BAAI/bge-m3,pair_commutator,NM_vs_MN,ar,es,0.019107183441519737
BAAI/bge-m3,pair_commutator,NM_vs_MN,ar,fr,-0.031940508633852005
BAAI/bge-m3,pair_commutator,NM_vs_MN,ar,ru,0.05739068239927292
BAAI/bge-m3,pair_commutator,NM_vs_MN,ar,zh,0.0
BAAI/bge-m3,pair_commutator,NM_vs_MN,de,en,0.2530537545681
BAAI/bge-m3,pair_commutator,NM_vs_MN,de,es,0.4462927281856537
BAAI/bge-m3,pair_commutator,NM_vs_MN,de,fr,0.5081517696380615
BAAI/bge-m3,pair_commutator,NM_vs_MN,de,ru,0.15863165259361267
BAAI/bge-m3,pair_commutator,NM_vs_MN,de,zh,0.0
