model,feature,train_languages,test_languages,accuracy,macro_f1,chance,n_train,n_test
bert-base-multilingual-cased,source_only,"es,fr,de,ru,zh,ar",en,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_endpoint_only,"es,fr,de,ru,zh,ar",en,0.8680555555555556,0.8638198391659323,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_endpoint_only,"es,fr,de,ru,zh,ar",en,0.9357638888888888,0.9340530592734667,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_delta_only,"es,fr,de,ru,zh,ar",en,0.8767361111111112,0.8731592527200251,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_delta_only,"es,fr,de,ru,zh,ar",en,0.8993055555555556,0.8891940298507462,0.16666666666666666,3456,576
bert-base-multilingual-cased,commutator_delta,"es,fr,de,ru,zh,ar",en,0.7482638888888888,0.7295910739696502,0.16666666666666666,3456,576
bert-base-multilingual-cased,source_only,"en,fr,de,ru,zh,ar",es,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_endpoint_only,"en,fr,de,ru,zh,ar",es,0.7569444444444444,0.7156273138626079,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_endpoint_only,"en,fr,de,ru,zh,ar",es,0.7934027777777778,0.7763373226088227,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_delta_only,"en,fr,de,ru,zh,ar",es,0.7934027777777778,0.777161139114828,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_delta_only,"en,fr,de,ru,zh,ar",es,0.9201388888888888,0.9186719337034887,0.16666666666666666,3456,576
bert-base-multilingual-cased,commutator_delta,"en,fr,de,ru,zh,ar",es,0.9461805555555556,0.946703937338186,0.16666666666666666,3456,576
bert-base-multilingual-cased,source_only,"en,es,de,ru,zh,ar",fr,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_endpoint_only,"en,es,de,ru,zh,ar",fr,0.6267361111111112,0.5750470979822416,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_endpoint_only,"en,es,de,ru,zh,ar",fr,0.7013888888888888,0.6430710952778212,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_delta_only,"en,es,de,ru,zh,ar",fr,0.7170138888888888,0.6738671499489984,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_delta_only,"en,es,de,ru,zh,ar",fr,0.7604166666666666,0.6940284011174703,0.16666666666666666,3456,576
bert-base-multilingual-cased,commutator_delta,"en,es,de,ru,zh,ar",fr,0.7013888888888888,0.6581550297748079,0.16666666666666666,3456,576
bert-base-multilingual-cased,source_only,"en,es,fr,ru,zh,ar",de,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_endpoint_only,"en,es,fr,ru,zh,ar",de,0.7847222222222222,0.7771905062153643,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_endpoint_only,"en,es,fr,ru,zh,ar",de,0.7378472222222222,0.7208877543298824,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_delta_only,"en,es,fr,ru,zh,ar",de,0.8732638888888888,0.8728692199348324,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_delta_only,"en,es,fr,ru,zh,ar",de,0.8663194444444444,0.8609112852504893,0.16666666666666666,3456,576
bert-base-multilingual-cased,commutator_delta,"en,es,fr,ru,zh,ar",de,0.5555555555555556,0.4712296959442222,0.16666666666666666,3456,576
bert-base-multilingual-cased,source_only,"en,es,fr,de,zh,ar",ru,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_endpoint_only,"en,es,fr,de,zh,ar",ru,0.3663194444444444,0.31060539904357953,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_endpoint_only,"en,es,fr,de,zh,ar",ru,0.3767361111111111,0.2830817554782668,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_delta_only,"en,es,fr,de,zh,ar",ru,0.4878472222222222,0.42628466345717014,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_delta_only,"en,es,fr,de,zh,ar",ru,0.5347222222222222,0.5025312974522457,0.16666666666666666,3456,576
bert-base-multilingual-cased,commutator_delta,"en,es,fr,de,zh,ar",ru,0.23958333333333334,0.17554999088392628,0.16666666666666666,3456,576
bert-base-multilingual-cased,source_only,"en,es,fr,de,ru,ar",zh,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_endpoint_only,"en,es,fr,de,ru,ar",zh,0.7899305555555556,0.7813571128213156,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_endpoint_only,"en,es,fr,de,ru,ar",zh,0.6267361111111112,0.5744421253006203,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_delta_only,"en,es,fr,de,ru,ar",zh,0.7864583333333334,0.7709102445823338,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_delta_only,"en,es,fr,de,ru,ar",zh,0.7135416666666666,0.6552982679019772,0.16666666666666666,3456,576
bert-base-multilingual-cased,commutator_delta,"en,es,fr,de,ru,ar",zh,0.4375,0.3695800873011355,0.16666666666666666,3456,576
bert-base-multilingual-cased,source_only,"en,es,fr,de,ru,zh",ar,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_endpoint_only,"en,es,fr,de,ru,zh",ar,0.3211805555555556,0.18351502167619368,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_endpoint_only,"en,es,fr,de,ru,zh",ar,0.2708333333333333,0.17208602166167308,0.16666666666666666,3456,576
bert-base-multilingual-cased,ab_delta_only,"en,es,fr,de,ru,zh",ar,0.3628472222222222,0.3117845704036594,0.16666666666666666,3456,576
bert-base-multilingual-cased,ba_delta_only,"en,es,fr,de,ru,zh",ar,0.40625,0.3202642933141811,0.16666666666666666,3456,576
bert-base-multilingual-cased,commutator_delta,"en,es,fr,de,ru,zh",ar,0.08506944444444445,0.04736080439704499,0.16666666666666666,3456,576
