model,feature,mean_macro_f1,min_macro_f1,n
BAAI/bge-m3,ab_delta_only,0.8358720910559354,0.3504238253386816,7
BAAI/bge-m3,ab_endpoint_only,0.8210889857695235,0.3366693254781536,7
BAAI/bge-m3,ba_delta_only,0.815815613452574,0.1683532751523611,7
BAAI/bge-m3,ba_endpoint_only,0.8148541774674483,0.1991662691392821,7
BAAI/bge-m3,commutator_delta,0.68842933811664,0.1341672062130723,7
BAAI/bge-m3,source_only,0.0476190476190476,0.0476190476190476,7
bert-base-multilingual-cased,ab_delta_only,0.6722908914516924,0.3117845704036594,7
bert-base-multilingual-cased,ab_endpoint_only,0.6010231843953192,0.1835150216761936,7
bert-base-multilingual-cased,ba_delta_only,0.6915570726557998,0.3202642933141811,7
bert-base-multilingual-cased,ba_endpoint_only,0.5862798762757934,0.172086021661673,7
bert-base-multilingual-cased,commutator_delta,0.48545294565842473,0.0473608043970449,7
bert-base-multilingual-cased,source_only,0.0476190476190476,0.0476190476190476,7
distilbert-base-multilingual-cased,ab_delta_only,0.649191518225925,0.2458155286087744,7
distilbert-base-multilingual-cased,ab_endpoint_only,0.5792223542704757,0.30315647537556,7
distilbert-base-multilingual-cased,ba_delta_only,0.6810639880450419,0.3337453198736232,7
distilbert-base-multilingual-cased,ba_endpoint_only,0.540804191428674,0.0844548171129747,7
distilbert-base-multilingual-cased,commutator_delta,0.4835001544661794,0.1302538493549729,7
distilbert-base-multilingual-cased,source_only,0.0476190476190476,0.0476190476190476,7
intfloat/multilingual-e5-large,ab_delta_only,0.8298210888014391,0.343259559806378,7
intfloat/multilingual-e5-large,ab_endpoint_only,0.7901989607066943,0.3256796276243652,7
intfloat/multilingual-e5-large,ba_delta_only,0.8137854715455575,0.1978828463203463,7
intfloat/multilingual-e5-large,ba_endpoint_only,0.7954803054975796,0.2628513449849441,7
intfloat/multilingual-e5-large,commutator_delta,0.6886559793756154,0.0533119007236624,7
intfloat/multilingual-e5-large,source_only,0.0476190476190476,0.0476190476190476,7
sentence-transformers/LaBSE,ab_delta_only,0.8630609228730501,0.3930182941136326,7
sentence-transformers/LaBSE,ab_endpoint_only,0.8544292231554689,0.332573651901383,7
sentence-transformers/LaBSE,ba_delta_only,0.8210949198967229,0.2791277584362081,7
sentence-transformers/LaBSE,ba_endpoint_only,0.8500238506317821,0.4022751367916692,7
sentence-transformers/LaBSE,commutator_delta,0.7661473259030965,0.225649932600512,7
sentence-transformers/LaBSE,source_only,0.0476190476190476,0.0476190476190476,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ab_delta_only,0.752670627950783,0.2237575119432036,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ab_endpoint_only,0.731387997368489,0.0478325859491778,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ba_delta_only,0.7041865786895024,0.1899750729627396,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ba_endpoint_only,0.7171257921278863,0.1557971014492753,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,commutator_delta,0.6973720696681982,0.0978667038482989,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,source_only,0.0476190476190476,0.0476190476190476,7
xlm-roberta-base,ab_delta_only,0.674838145572176,0.2003299816057635,7
xlm-roberta-base,ab_endpoint_only,0.4840251783372356,0.0771061726805201,7
xlm-roberta-base,ba_delta_only,0.693412678668814,0.3241253982455546,7
xlm-roberta-base,ba_endpoint_only,0.5153499645263178,0.1484606684190856,7
xlm-roberta-base,commutator_delta,0.5525975361177772,0.0986928242055395,7
xlm-roberta-base,source_only,0.0476190476190476,0.0476190476190476,7
