model,language,pair,mean_relative_commutator_norm,std_relative_commutator_norm,mean_noncommutativity,n
BAAI/bge-m3,ar,MT_vs_TM,0.2187871797941625,0.0603750475467965,0.0241664182394742,96
BAAI/bge-m3,ar,NM_vs_MN,0.242923451665168,0.0560253786008552,0.0295658359924952,96
BAAI/bge-m3,ar,NQ_vs_QN,1.082425877451897,0.0657696944627541,0.5796538759022951,96
BAAI/bge-m3,ar,NT_vs_TN,0.737332676226894,0.1327189819436223,0.2735940500472982,96
BAAI/bge-m3,ar,QM_vs_MQ,1.002130129064123,0.0855442229761974,0.4923759053150813,96
BAAI/bge-m3,ar,QT_vs_TQ,0.97351500702401,0.0668202994418975,0.415468230843544,96
BAAI/bge-m3,de,MT_vs_TM,0.2873278560582548,0.1473732706929938,0.0496755360315243,96
BAAI/bge-m3,de,NM_vs_MN,0.1842598339232305,0.0937317931589217,0.0205154437571764,96
BAAI/bge-m3,de,NQ_vs_QN,0.8060075808316469,0.0706791884315382,0.3130810335278511,96
BAAI/bge-m3,de,NT_vs_TN,0.7765277860065302,0.132995696987716,0.3028040835633874,96
BAAI/bge-m3,de,QM_vs_MQ,0.6352861343572537,0.0672765929138963,0.1952884712566932,96
BAAI/bge-m3,de,QT_vs_TQ,0.769301887601614,0.047817526255354,0.291568486019969,96
BAAI/bge-m3,en,MT_vs_TM,0.1829323320028682,0.0416659785309498,0.0164040935536225,96
BAAI/bge-m3,en,NM_vs_MN,0.095887658613113,0.0207742351749206,0.0047075276573499,96
BAAI/bge-m3,en,NQ_vs_QN,0.8907038109997908,0.0528624093148857,0.3796100796510775,96
BAAI/bge-m3,en,NT_vs_TN,0.4854286592453718,0.1289815224677303,0.1203139138718446,96
BAAI/bge-m3,en,QM_vs_MQ,0.5617895486454169,0.0799577659227033,0.1473305150866508,96
BAAI/bge-m3,en,QT_vs_TQ,0.7017679642885923,0.058297507011887,0.2448655931899944,96
BAAI/bge-m3,es,MT_vs_TM,0.2942238402708123,0.118569159044646,0.0470087379217147,96
BAAI/bge-m3,es,NM_vs_MN,0.1611198457734038,0.0621978282196614,0.014303209260106,96
BAAI/bge-m3,es,NQ_vs_QN,0.971224903439482,0.0690109772299474,0.4578196424990892,96
BAAI/bge-m3,es,NT_vs_TN,0.4750161555906136,0.0726781749384848,0.1133399251848459,96
BAAI/bge-m3,es,QM_vs_MQ,0.6846327384312948,0.0936044763193154,0.2249966313441594,96
BAAI/bge-m3,es,QT_vs_TQ,0.5707994494587183,0.0813323822132155,0.1580059807747602,96
BAAI/bge-m3,fr,MT_vs_TM,0.2457704104793568,0.0696383728177784,0.0307743151982625,96
BAAI/bge-m3,fr,NM_vs_MN,0.1456218002907311,0.0497228901356547,0.0114916196713844,96
BAAI/bge-m3,fr,NQ_vs_QN,0.910741331676642,0.0819968607275909,0.4034194936975837,96
BAAI/bge-m3,fr,NT_vs_TN,0.5463528682788213,0.1069956220229488,0.1539730740090211,96
BAAI/bge-m3,fr,QM_vs_MQ,0.5932154186690847,0.1129011771180936,0.1806099824607372,96
BAAI/bge-m3,fr,QT_vs_TQ,0.6611530380323529,0.0831026696464782,0.2139765967925389,96
BAAI/bge-m3,ru,MT_vs_TM,0.2934214783211549,0.0769526127492015,0.0449452263613541,96
