model,language,pair,mean_relative_commutator_norm,std_relative_commutator_norm,mean_noncommutativity,n
bert-base-multilingual-cased,ar,MT_vs_TM,0.17975905211642385,0.048551598286760415,0.016599028060833614,96
bert-base-multilingual-cased,ar,NM_vs_MN,0.17458979001579186,0.04956818358343124,0.01587504769364993,96
bert-base-multilingual-cased,ar,NQ_vs_QN,0.6006556460633874,0.10828435722328558,0.18420679432650408,96
bert-base-multilingual-cased,ar,NT_vs_TN,0.677165144123137,0.134441274303072,0.22699323669075966,96
bert-base-multilingual-cased,ar,QM_vs_MQ,0.4945319186275204,0.0945101281033644,0.12542731625338396,96
bert-base-multilingual-cased,ar,QT_vs_TQ,0.5878641810268164,0.06495292870918289,0.17159364993373552,96
bert-base-multilingual-cased,de,MT_vs_TM,0.35749270922193926,0.09948203169921276,0.06720624429484208,96
bert-base-multilingual-cased,de,NM_vs_MN,0.4507702514529228,0.1060015731207499,0.10344741679728031,96
bert-base-multilingual-cased,de,NQ_vs_QN,0.6264268544812998,0.04157619108248812,0.19481156518061957,96
bert-base-multilingual-cased,de,NT_vs_TN,0.9267454079041878,0.11814751336363155,0.42638090532273054,96
bert-base-multilingual-cased,de,QM_vs_MQ,0.6066057762751976,0.045253140762755543,0.18386154559751353,96
bert-base-multilingual-cased,de,QT_vs_TQ,0.5972454852114121,0.0529877921977809,0.16608249520262083,96
bert-base-multilingual-cased,en,MT_vs_TM,0.4747502316410343,0.08996743959803628,0.11408835897843043,96
bert-base-multilingual-cased,en,NM_vs_MN,0.46037293194482726,0.08746352615709219,0.1081255537768205,96
bert-base-multilingual-cased,en,NQ_vs_QN,0.6608190679301819,0.03774825761365731,0.21781927595535913,96
bert-base-multilingual-cased,en,NT_vs_TN,0.9787040861944357,0.13279938614169662,0.464248929793636,96
bert-base-multilingual-cased,en,QM_vs_MQ,0.5693363721172015,0.043245133445126364,0.16068142155806223,96
bert-base-multilingual-cased,en,QT_vs_TQ,0.48798722960054874,0.03567073670982207,0.11202109170456727,96
bert-base-multilingual-cased,es,MT_vs_TM,0.3895481334378322,0.08573103968242057,0.07803072469929855,96
bert-base-multilingual-cased,es,NM_vs_MN,0.36088904831558466,0.0851671304889393,0.06674512103199959,96
bert-base-multilingual-cased,es,NQ_vs_QN,0.6683629490435123,0.07350426530115955,0.22336084209382534,96
bert-base-multilingual-cased,es,NT_vs_TN,0.8376378193497658,0.17786485205479693,0.35534912906587124,96
bert-base-multilingual-cased,es,QM_vs_MQ,0.6508291838690639,0.06252263221468958,0.20852366213997206,96
bert-base-multilingual-cased,es,QT_vs_TQ,0.6920426071931919,0.05911773817101574,0.23669650281469026,96
bert-base-multilingual-cased,fr,MT_vs_TM,0.3637969254826506,0.06680223944959902,0.06684550518790881,96
bert-base-multilingual-cased,fr,NM_vs_MN,0.3284838191854457,0.06444466286467294,0.05482999607920647,96
bert-base-multilingual-cased,fr,NQ_vs_QN,0.7054542868087689,0.04834665364919688,0.24836571887135506,96
bert-base-multilingual-cased,fr,NT_vs_TN,0.9905773544063171,0.10059410730913484,0.49118564355497557,96
bert-base-multilingual-cased,fr,QM_vs_MQ,0.5487063421557347,0.04802378383221626,0.15092556675275168,96
bert-base-multilingual-cased,fr,QT_vs_TQ,0.5732760019600391,0.04717056646606179,0.1644130094597737,96
bert-base-multilingual-cased,ru,MT_vs_TM,0.2680640898955365,0.0544553588243693,0.036512212827801704,96
bert-base-multilingual-cased,ru,NM_vs_MN,0.2747972351498902,0.055924908940481355,0.037945366774996124,96
bert-base-multilingual-cased,ru,NQ_vs_QN,0.6917325792213281,0.05080750629028755,0.23443220742046833,96
bert-base-multilingual-cased,ru,NT_vs_TN,1.1369156887133915,0.11342089492061133,0.6446598471763233,96
bert-base-multilingual-cased,ru,QM_vs_MQ,0.5979962069541216,0.08558993862844147,0.16593548469245434,96
bert-base-multilingual-cased,ru,QT_vs_TQ,0.5078170237441858,0.04917762659024432,0.1261827933291594,96
bert-base-multilingual-cased,zh,MT_vs_TM,0.0,0.0,3.104408582051595e-09,96
bert-base-multilingual-cased,zh,NM_vs_MN,0.0,0.0,-6.829698880513509e-09,96
bert-base-multilingual-cased,zh,NQ_vs_QN,0.6408354869733254,0.0533579081584611,0.20573276529709497,96
bert-base-multilingual-cased,zh,NT_vs_TN,0.7348150176306566,0.09077869912013843,0.24802440963685513,96
bert-base-multilingual-cased,zh,QM_vs_MQ,0.39512534191211063,0.04490727286054433,0.07805435607830684,96
bert-base-multilingual-cased,zh,QT_vs_TQ,0.462177104006211,0.04946219195944707,0.10627987422049046,96
