model,triple,mean_ratio_to_null_mean,std_ratio_to_null_mean,min_ratio_to_null_mean,max_ratio_to_null_mean,below_null_languages,n_languages
BAAI/bge-m3,NMT,0.7905658105026953,0.037789538977542725,0.7144115705957504,0.833581642304972,7,7
BAAI/bge-m3,NQM,0.6032002783278495,0.05590127144997544,0.493236106441161,0.6585775582792999,7,7
BAAI/bge-m3,NQT,0.7275023545030691,0.081679319031257,0.5719343025836698,0.8284231080777246,7,7
BAAI/bge-m3,QMT,0.6660322050375507,0.06692194648765407,0.54666149517445,0.7334439251982748,7,7
bert-base-multilingual-cased,NMT,0.7576492353555125,0.051463137126599036,0.6951763961857972,0.8335816402554704,7,7
bert-base-multilingual-cased,NQM,0.5452979226233309,0.053739166321337434,0.4826302205027591,0.6124004286981566,7,7
bert-base-multilingual-cased,NQT,0.6831316116973248,0.023077981137132365,0.6621710010732955,0.7205854634215386,7,7
bert-base-multilingual-cased,QMT,0.6502589286095676,0.06732182331961453,0.5465555152015117,0.7423199621611101,7,7
distilbert-base-multilingual-cased,NMT,0.801209575206337,0.023406415573594037,0.7646694826676358,0.8335816384214771,7,7
distilbert-base-multilingual-cased,NQM,0.5528732763622405,0.054454198074645174,0.4688540205486995,0.6343461917929075,7,7
distilbert-base-multilingual-cased,NQT,0.7039356727224192,0.033697349991585246,0.6524286893502332,0.7558753451605643,7,7
distilbert-base-multilingual-cased,QMT,0.6319547599264496,0.07308937503939447,0.5490627183843961,0.7369700512203426,7,7
intfloat/multilingual-e5-large,NMT,0.7777367477777176,0.052150677866131326,0.6987396730976183,0.8335816375152278,7,7
intfloat/multilingual-e5-large,NQM,0.6057747385089451,0.0777902079320794,0.4958610305849628,0.6745366648477368,7,7
intfloat/multilingual-e5-large,NQT,0.7233468310518779,0.06463114765123913,0.6044824708648573,0.7869137549957204,7,7
intfloat/multilingual-e5-large,QMT,0.6532333750451986,0.07019996574351411,0.5409651187381838,0.747671997733477,7,7
sentence-transformers/LaBSE,NMT,0.7402000015843564,0.050956365846745115,0.663861005445443,0.8335816354030353,7,7
sentence-transformers/LaBSE,NQM,0.5601652634086197,0.037068070593036816,0.4897494356847067,0.5985459981939313,7,7
sentence-transformers/LaBSE,NQT,0.6673997960167817,0.04307266407042766,0.6145290387467514,0.721679856884958,7,7
sentence-transformers/LaBSE,QMT,0.5399269132516374,0.02684143262069898,0.5008754569011723,0.5755018531308042,7,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,NMT,0.7827554131696453,0.04243241866625067,0.724050881567618,0.8335816486620858,7,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,NQM,0.6038846561848514,0.11095973649836502,0.4289724066875179,0.7174314667327382,7,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,NQT,0.7214575388005464,0.1002484702381303,0.5192784117743922,0.8079023270062834,7,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,QMT,0.6412790938152508,0.08900873078828149,0.5211908092820937,0.7372863537440257,7,7
xlm-roberta-base,NMT,0.7863427232599672,0.030819609601171395,0.7489466404313174,0.833581639338591,7,7
xlm-roberta-base,NQM,0.5251770615942123,0.10478384369356276,0.3367011026055974,0.6511780422749548,7,7
xlm-roberta-base,NQT,0.6726005278814979,0.08886537866630627,0.5212467267802873,0.7537883610154262,7,7
xlm-roberta-base,QMT,0.5558324465233255,0.0981220714195463,0.4591588530095206,0.7481431387924175,7,7
