model,language,triple,mean_relative_signed_permutation_norm,mean_ratio_to_null_mean,mean_null_percentile,max_p_smaller_or_equal_null,n
distilbert-base-multilingual-cased,ar,NMT,0.5626975744962692,0.8105433801648294,30.571875000000002,0.7098580283943211,96
distilbert-base-multilingual-cased,ar,NQM,0.4936888736362259,0.5893587214204331,26.541458333333335,0.612877424515097,96
distilbert-base-multilingual-cased,ar,NQT,0.6210434325039387,0.7558753451605643,30.708645833333335,0.6222755448910218,96
distilbert-base-multilingual-cased,ar,QMT,0.606334742779533,0.7369700512203426,29.87291666666667,0.6184763047390522,96
distilbert-base-multilingual-cased,de,NMT,0.7801840659230947,0.793932552995739,22.020104166666666,0.607878424315137,96
distilbert-base-multilingual-cased,de,NQM,0.4773644721135497,0.6343461917929075,23.341979166666665,0.6110777844431113,96
distilbert-base-multilingual-cased,de,NQT,0.5389504916965961,0.7175639665201169,31.09875,0.615876824635073,96
distilbert-base-multilingual-cased,de,QMT,0.3926125889023145,0.5546139555580923,30.68479166666667,0.612877424515097,96
distilbert-base-multilingual-cased,en,NMT,0.7041898133854071,0.7801699736587807,25.803854166666667,0.7020595880823836,96
distilbert-base-multilingual-cased,en,NQM,0.40802551961193484,0.5245033862220928,20.2215625,0.4169166166766647,96
distilbert-base-multilingual-cased,en,NQT,0.4430576677744587,0.6942639512404654,33.27854166666667,0.620875824835033,96
distilbert-base-multilingual-cased,en,QMT,0.40289775654673576,0.6102654605711869,30.95447916666667,0.6152769446110777,96
distilbert-base-multilingual-cased,es,NMT,0.5803337724258503,0.7646694826676358,22.278750000000002,0.5080983803239352,96
distilbert-base-multilingual-cased,es,NQM,0.5368263078853488,0.5830669748217701,24.97,0.6124775044991002,96
distilbert-base-multilingual-cased,es,NQT,0.5089897373691201,0.6746947390235513,28.129166666666666,0.6166766646670666,96
distilbert-base-multilingual-cased,es,QMT,0.4992561411733429,0.6270396031640791,28.566041666666667,0.6196760647870426,96
distilbert-base-multilingual-cased,fr,NMT,0.68450259976089,0.8076220439353933,26.78625,0.7038592281543691,96
distilbert-base-multilingual-cased,fr,NQM,0.4135313757384817,0.520721289667564,19.914583333333333,0.6000799840031994,96
distilbert-base-multilingual-cased,fr,NQT,0.5216913080463806,0.7194648836026217,29.055000000000003,0.619876024795041,96
distilbert-base-multilingual-cased,fr,QMT,0.36451195273548365,0.6263392497771569,27.973333333333333,0.6152769446110777,96
distilbert-base-multilingual-cased,ru,NMT,0.7454220832635959,0.8179479546005038,28.876875,0.7114577084583084,96
distilbert-base-multilingual-cased,ru,NQM,0.4222605402270953,0.4688540205486995,21.780416666666667,0.6092781443711258,96
distilbert-base-multilingual-cased,ru,NQT,0.5863567100216945,0.713258134159381,28.670104166666665,0.6144771045790842,96
distilbert-base-multilingual-cased,ru,QMT,0.462943182947735,0.7193922808098933,26.246145833333333,0.611877624475105,96
distilbert-base-multilingual-cased,zh,NMT,0.644288438372314,0.8335816384214771,45.145520833333336,0.9098180363927214,96
distilbert-base-multilingual-cased,zh,NQM,0.39437055805077154,0.5492623500622168,29.529687499999998,0.612877424515097,96
distilbert-base-multilingual-cased,zh,NQT,0.45197117794305086,0.6524286893502332,32.330729166666664,0.617876424715057,96
distilbert-base-multilingual-cased,zh,QMT,0.25459515132630867,0.5490627183843961,30.510729166666668,0.613877224555089,96
