model,feature,train_languages,test_languages,accuracy,macro_f1,chance,n_train,n_test
BAAI/bge-m3,source_only,"es,fr,de,ru,zh,ar",en,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
BAAI/bge-m3,ab_endpoint_only,"es,fr,de,ru,zh,ar",en,0.9756944444444444,0.9752392001410644,0.16666666666666666,1728,288
BAAI/bge-m3,ba_endpoint_only,"es,fr,de,ru,zh,ar",en,0.9791666666666666,0.9791304347826086,0.16666666666666666,1728,288
BAAI/bge-m3,ab_delta_only,"es,fr,de,ru,zh,ar",en,0.9965277777777778,0.9965274009766686,0.16666666666666666,1728,288
BAAI/bge-m3,ba_delta_only,"es,fr,de,ru,zh,ar",en,1.0,1.0,0.16666666666666666,1728,288
BAAI/bge-m3,commutator_delta,"es,fr,de,ru,zh,ar",en,0.8229166666666666,0.8079243463108136,0.16666666666666666,1728,288
BAAI/bge-m3,source_only,"en,fr,de,ru,zh,ar",es,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
BAAI/bge-m3,ab_endpoint_only,"en,fr,de,ru,zh,ar",es,0.9548611111111112,0.9544700354619815,0.16666666666666666,1728,288
BAAI/bge-m3,ba_endpoint_only,"en,fr,de,ru,zh,ar",es,0.9444444444444444,0.9426258891499022,0.16666666666666666,1728,288
BAAI/bge-m3,ab_delta_only,"en,fr,de,ru,zh,ar",es,0.9548611111111112,0.9559025988157006,0.16666666666666666,1728,288
BAAI/bge-m3,ba_delta_only,"en,fr,de,ru,zh,ar",es,0.9722222222222222,0.972027972027972,0.16666666666666666,1728,288
BAAI/bge-m3,commutator_delta,"en,fr,de,ru,zh,ar",es,0.8854166666666666,0.8789934619842116,0.16666666666666666,1728,288
BAAI/bge-m3,source_only,"en,es,de,ru,zh,ar",fr,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
BAAI/bge-m3,ab_endpoint_only,"en,es,de,ru,zh,ar",fr,0.9722222222222222,0.9721859903381643,0.16666666666666666,1728,288
BAAI/bge-m3,ba_endpoint_only,"en,es,de,ru,zh,ar",fr,0.9930555555555556,0.9930551787544463,0.16666666666666666,1728,288
BAAI/bge-m3,ab_delta_only,"en,es,de,ru,zh,ar",fr,0.9791666666666666,0.9791489361702128,0.16666666666666666,1728,288
BAAI/bge-m3,ba_delta_only,"en,es,de,ru,zh,ar",fr,1.0,1.0,0.16666666666666666,1728,288
BAAI/bge-m3,commutator_delta,"en,es,de,ru,zh,ar",fr,0.9236111111111112,0.9218028498698724,0.16666666666666666,1728,288
BAAI/bge-m3,source_only,"en,es,fr,ru,zh,ar",de,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
BAAI/bge-m3,ab_endpoint_only,"en,es,fr,ru,zh,ar",de,0.9513888888888888,0.9512352102744711,0.16666666666666666,1728,288
BAAI/bge-m3,ba_endpoint_only,"en,es,fr,ru,zh,ar",de,0.8993055555555556,0.8964642908845808,0.16666666666666666,1728,288
BAAI/bge-m3,ab_delta_only,"en,es,fr,ru,zh,ar",de,0.9826388888888888,0.9825916657599826,0.16666666666666666,1728,288
BAAI/bge-m3,ba_delta_only,"en,es,fr,ru,zh,ar",de,0.8819444444444444,0.8650124069478909,0.16666666666666666,1728,288
BAAI/bge-m3,commutator_delta,"en,es,fr,ru,zh,ar",de,0.9791666666666666,0.9791576204950067,0.16666666666666666,1728,288
BAAI/bge-m3,source_only,"en,es,fr,de,zh,ar",ru,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
BAAI/bge-m3,ab_endpoint_only,"en,es,fr,de,zh,ar",ru,0.5798611111111112,0.5216481120022275,0.16666666666666666,1728,288
BAAI/bge-m3,ba_endpoint_only,"en,es,fr,de,zh,ar",ru,0.7361111111111112,0.7206649013161309,0.16666666666666666,1728,288
BAAI/bge-m3,ab_delta_only,"en,es,fr,de,zh,ar",ru,0.6145833333333334,0.5774408983978568,0.16666666666666666,1728,288
BAAI/bge-m3,ba_delta_only,"en,es,fr,de,zh,ar",ru,0.7395833333333334,0.7019502537075869,0.16666666666666666,1728,288
BAAI/bge-m3,commutator_delta,"en,es,fr,de,zh,ar",ru,0.4861111111111111,0.3818883244224139,0.16666666666666666,1728,288
BAAI/bge-m3,source_only,"en,es,fr,de,ru,ar",zh,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
BAAI/bge-m3,ab_endpoint_only,"en,es,fr,de,ru,ar",zh,0.8784722222222222,0.8762291023554623,0.16666666666666666,1728,288
BAAI/bge-m3,ba_endpoint_only,"en,es,fr,de,ru,ar",zh,0.8784722222222222,0.8728157880401524,0.16666666666666666,1728,288
BAAI/bge-m3,ab_delta_only,"en,es,fr,de,ru,ar",zh,0.96875,0.9686997614805403,0.16666666666666666,1728,288
BAAI/bge-m3,ba_delta_only,"en,es,fr,de,ru,ar",zh,0.90625,0.9032108415878276,0.16666666666666666,1728,288
BAAI/bge-m3,commutator_delta,"en,es,fr,de,ru,ar",zh,0.5763888888888888,0.5134929097911342,0.16666666666666666,1728,288
BAAI/bge-m3,source_only,"en,es,fr,de,ru,zh",ar,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
BAAI/bge-m3,ab_endpoint_only,"en,es,fr,de,ru,zh",ar,0.3923611111111111,0.3340937167541754,0.16666666666666666,1728,288
BAAI/bge-m3,ba_endpoint_only,"en,es,fr,de,ru,zh",ar,0.2881944444444444,0.21820059407778705,0.16666666666666666,1728,288
BAAI/bge-m3,ab_delta_only,"en,es,fr,de,ru,zh",ar,0.4375,0.38373883855265295,0.16666666666666666,1728,288
BAAI/bge-m3,ba_delta_only,"en,es,fr,de,ru,zh",ar,0.3090277777777778,0.1654656212767593,0.16666666666666666,1728,288
BAAI/bge-m3,commutator_delta,"en,es,fr,de,ru,zh",ar,0.19791666666666666,0.15762073548958797,0.16666666666666666,1728,288
