model,feature,mean_macro_f1,min_macro_f1,n
BAAI/bge-m3,ab_delta_only,0.8348643000219449,0.3837388385526529,7
BAAI/bge-m3,ab_endpoint_only,0.7978716239039353,0.3340937167541754,7
BAAI/bge-m3,ba_delta_only,0.8010952993640051,0.1654656212767593,7
BAAI/bge-m3,ba_endpoint_only,0.8032795824293727,0.218200594077787,7
BAAI/bge-m3,commutator_delta,0.6629828926232915,0.1576207354895879,7
BAAI/bge-m3,source_only,0.0476190476190476,0.0476190476190476,7
bert-base-multilingual-cased,ab_delta_only,0.6791378390844339,0.3377467202587287,7
bert-base-multilingual-cased,ab_endpoint_only,0.6069779728708898,0.2436204744069912,7
bert-base-multilingual-cased,ba_delta_only,0.6706204064555193,0.3292398624835335,7
bert-base-multilingual-cased,ba_endpoint_only,0.5733899166862991,0.1595502948980892,7
bert-base-multilingual-cased,commutator_delta,0.4970365507883784,0.0528704357155386,7
bert-base-multilingual-cased,source_only,0.0476190476190476,0.0476190476190476,7
intfloat/multilingual-e5-large,ab_delta_only,0.8351659305380915,0.3752207298369985,7
intfloat/multilingual-e5-large,ab_endpoint_only,0.7844146119675136,0.3591643359493987,7
intfloat/multilingual-e5-large,ba_delta_only,0.808131340612485,0.1708169095981706,7
intfloat/multilingual-e5-large,ba_endpoint_only,0.7817697516293635,0.2224049538266761,7
intfloat/multilingual-e5-large,commutator_delta,0.6697005323293729,0.0459021603979587,7
intfloat/multilingual-e5-large,source_only,0.0476190476190476,0.0476190476190476,7
sentence-transformers/LaBSE,ab_delta_only,0.8665667943018617,0.3553841529807107,7
sentence-transformers/LaBSE,ab_endpoint_only,0.8553722283149027,0.3729433345247339,7
sentence-transformers/LaBSE,ba_delta_only,0.8247598882006132,0.2845985093718067,7
sentence-transformers/LaBSE,ba_endpoint_only,0.8513886362108778,0.4066388911016019,7
sentence-transformers/LaBSE,commutator_delta,0.7576890940678739,0.2208047897521581,7
sentence-transformers/LaBSE,source_only,0.0476190476190476,0.0476190476190476,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ab_delta_only,0.7456210216654888,0.24176477000218,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ab_endpoint_only,0.7093794220075923,0.0476190476190476,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ba_delta_only,0.6670692587848251,0.1863301785836792,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ba_endpoint_only,0.6805005330735981,0.1604184748625771,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,commutator_delta,0.6735733183408094,0.0877296976882039,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,source_only,0.0476190476190476,0.0476190476190476,7
