language,triple,mean_ratio_to_null_mean,std_ratio_to_null_mean,min_ratio_to_null_mean,max_ratio_to_null_mean,below_null_models,n_models
ar,NMT,0.7128345568785315,0.04937163157377168,0.6616298408655789,0.7951436894806309,5,5
ar,NQM,0.5159278144623927,0.06476372147313268,0.41815782831513,0.5724058192154166,5,5
ar,NQT,0.6006469764654533,0.08200580479151301,0.4999299139027564,0.7188747251736958,5,5
ar,QMT,0.5763480981571032,0.0984281464295004,0.4867879340712276,0.7382186785135452,5,5
de,NMT,0.7751923694056749,0.04396235332499496,0.7124159055102391,0.8263869589236866,5,5
de,NQM,0.6372208809816902,0.0646376861778242,0.5483682768827568,0.7179133720638289,5,5
de,NQT,0.7643486463992859,0.06509037013282201,0.6770829531535596,0.836598711773274,5,5
de,QMT,0.6457143345690299,0.06648676688953016,0.5580058595395438,0.7196958505242054,5,5
en,NMT,0.7556147014529352,0.031915158905622576,0.718936201292598,0.7896369738438397,5,5
en,NQM,0.5892227826761334,0.07643603082787048,0.481360736716283,0.6730554578606786,5,5
en,NQT,0.7139325290911931,0.07207679712610698,0.6141163187013897,0.7822419148074745,5,5
en,QMT,0.6792813590247961,0.09105551479439153,0.528934979703128,0.7558527547967525,5,5
es,NMT,0.7609843434269086,0.04937281442022021,0.7155377154920348,0.8291248405554258,5,5
es,NQM,0.6069986940311385,0.04435354897043735,0.5456264592074639,0.6524234854233374,5,5
es,NQT,0.7159362208882891,0.04614340874687756,0.6653771360226218,0.7743230510261211,5,5
es,QMT,0.6388993026051331,0.05003102984928453,0.5525673591161548,0.672090058235235,5,5
fr,NMT,0.7691205591969374,0.02677980220106095,0.7355210650815627,0.799117435464186,5,5
fr,NQM,0.6063202163797162,0.06753449619082924,0.5018003763045628,0.6867745976787591,5,5
fr,NQT,0.7364393994142713,0.06604230262626717,0.6583438600838738,0.8065870637105595,5,5
fr,QMT,0.6528772438361474,0.08288027995697703,0.5274456258296867,0.7430633203807493,5,5
ru,NMT,0.7942224908638006,0.037721259770153434,0.7475216410689898,0.8302291390007998,5,5
ru,NQM,0.5058810411008069,0.04525372305051789,0.4742185467841428,0.5840087556503997,5,5
ru,NQT,0.7082315772698987,0.014894898466868573,0.6848459489165118,0.7221792582506245,5,5
ru,QMT,0.6306630602405311,0.07815704636611757,0.5228356332188977,0.7102743986569883,5,5
zh,NMT,0.8329232961698937,5.5132710405035876e-09,0.8329232899625693,0.8329233024634873,5,5
zh,NQM,0.597309851995208,0.05590115480523896,0.4988078027148592,0.6342001030728431,5,5
zh,NQT,0.6701931267082535,0.033388450752440235,0.6159970108687044,0.7026296484249234,5,5
zh,QMT,0.518335791068974,0.03353986822069549,0.4832449203176535,0.5656713922735012,5,5
