model,triple,mean_ratio_to_null_mean,std_ratio_to_null_mean,min_ratio_to_null_mean,max_ratio_to_null_mean,below_null_languages,n_languages
BAAI/bge-m3,NMT,0.7901448263079253,0.04331654767156963,0.7028699250868868,0.832923300707718,7,7
BAAI/bge-m3,NQM,0.6020012705944068,0.05341996492295193,0.5003327409706307,0.6542129226988505,7,7
BAAI/bge-m3,NQT,0.7266136926629505,0.08643602747950054,0.5633283717800966,0.836598711773274,7,7
BAAI/bge-m3,QMT,0.654686646545639,0.07544672048814924,0.5258111325064612,0.7267332778756096,7,7
bert-base-multilingual-cased,NMT,0.7615799623826397,0.048017388820514366,0.7124159055102391,0.8329232913919329,7,7
bert-base-multilingual-cased,NQM,0.5364275172958605,0.05204351545556285,0.4749999215290772,0.6082774710380352,7,7
bert-base-multilingual-cased,NQT,0.6799160224636299,0.02349341169190709,0.6583438600838738,0.7188747251736958,7,7
bert-base-multilingual-cased,QMT,0.6421313175762078,0.07030922277442206,0.5281904874610501,0.7382186785135452,7,7
intfloat/multilingual-e5-large,NMT,0.7787397843146965,0.05084381437232708,0.6983418703249403,0.8329232899625693,7,7
intfloat/multilingual-e5-large,NQM,0.5978185695459176,0.0781651042793177,0.4817151407570119,0.6730554578606786,7,7
intfloat/multilingual-e5-large,NQT,0.7187052587446265,0.06897985274297568,0.5861662505001997,0.7815174804753963,7,7
intfloat/multilingual-e5-large,QMT,0.6404820121984767,0.09037278323163586,0.4867879340712276,0.7558527547967525,7,7
sentence-transformers/LaBSE,NMT,0.7440078712563,0.051544747878577706,0.6616298408655789,0.8329232963237607,7,7
sentence-transformers/LaBSE,NQM,0.5620571956763234,0.036598529530003386,0.4988078027148592,0.6013539423899451,7,7
sentence-transformers/LaBSE,NQT,0.6636195063111999,0.0447892974678392,0.6141163187013897,0.7201485389894798,7,7
sentence-transformers/LaBSE,QMT,0.534407038518803,0.028380306315878862,0.4832449203176535,0.5678148919065567,7,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,NMT,0.7833077824489256,0.04853107570587467,0.706187458634621,0.8329233024634873,7,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,NQM,0.6008963623354101,0.11163992956108737,0.41815782831513,0.7179133720638289,7,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,NQT,0.7180944314151965,0.10735014183208845,0.4999299139027564,0.8077127160625001,7,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,QMT,0.6298066919478125,0.10121786126481504,0.4887610227862038,0.7430633203807493,7,7
