model,feature,train_languages,test_languages,accuracy,macro_f1,chance,n_train,n_test
intfloat/multilingual-e5-large-instruct,source_only,"es,fr,de,ru,zh,ar",en,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_endpoint_only,"es,fr,de,ru,zh,ar",en,0.9618055555555556,0.9612974161627269,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_endpoint_only,"es,fr,de,ru,zh,ar",en,1.0,1.0,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_delta_only,"es,fr,de,ru,zh,ar",en,0.9930555555555556,0.9930525401650021,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_delta_only,"es,fr,de,ru,zh,ar",en,0.9618055555555556,0.9612974161627269,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,commutator_delta,"es,fr,de,ru,zh,ar",en,0.9861111111111112,0.986111111111111,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,source_only,"en,fr,de,ru,zh,ar",es,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_endpoint_only,"en,fr,de,ru,zh,ar",es,0.9583333333333334,0.958169934640523,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_endpoint_only,"en,fr,de,ru,zh,ar",es,0.9965277777777778,0.9965274009766686,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_delta_only,"en,fr,de,ru,zh,ar",es,0.9791666666666666,0.9790849673202615,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_delta_only,"en,fr,de,ru,zh,ar",es,1.0,1.0,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,commutator_delta,"en,fr,de,ru,zh,ar",es,0.9722222222222222,0.9721132897603487,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,source_only,"en,es,de,ru,zh,ar",fr,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_endpoint_only,"en,es,de,ru,zh,ar",fr,0.9722222222222222,0.9721739130434782,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_endpoint_only,"en,es,de,ru,zh,ar",fr,0.9513888888888888,0.9503325942350332,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_delta_only,"en,es,de,ru,zh,ar",fr,0.9826388888888888,0.9825916657599826,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_delta_only,"en,es,de,ru,zh,ar",fr,0.9965277777777778,0.9965274009766686,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,commutator_delta,"en,es,de,ru,zh,ar",fr,0.9722222222222222,0.9720279720279721,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,source_only,"en,es,fr,ru,zh,ar",de,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_endpoint_only,"en,es,fr,ru,zh,ar",de,0.9930555555555556,0.9930548019533371,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_endpoint_only,"en,es,fr,ru,zh,ar",de,0.90625,0.9035564023180123,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_delta_only,"en,es,fr,ru,zh,ar",de,0.9826388888888888,0.9825916657599826,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_delta_only,"en,es,fr,ru,zh,ar",de,0.9444444444444444,0.942857142857143,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,commutator_delta,"en,es,fr,ru,zh,ar",de,0.9583333333333334,0.9582608695652174,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,source_only,"en,es,fr,de,zh,ar",ru,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_endpoint_only,"en,es,fr,de,zh,ar",ru,0.6979166666666666,0.6456659540602362,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_endpoint_only,"en,es,fr,de,zh,ar",ru,0.6527777777777778,0.6117050565076653,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_delta_only,"en,es,fr,de,zh,ar",ru,0.6909722222222222,0.6587162965305139,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_delta_only,"en,es,fr,de,zh,ar",ru,0.6458333333333334,0.5803781416518078,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,commutator_delta,"en,es,fr,de,zh,ar",ru,0.4826388888888889,0.3870113536600315,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,source_only,"en,es,fr,de,ru,ar",zh,0.16666666666666666,0.047619047619047616,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ab_endpoint_only,"en,es,fr,de,ru,ar",zh,0.875,0.8710847149443642,0.16666666666666666,1728,288
intfloat/multilingual-e5-large-instruct,ba_endpoint_only,"en,es,fr,de,ru,ar",zh,0.9270833333333334,0.9264242911565265,0.16666666666666666,1728,288
