model,language,pair,mean_relative_commutator_norm,std_relative_commutator_norm,mean_noncommutativity,n
intfloat/multilingual-e5-large-instruct,ar,MT_vs_TM,0.19972987648139096,0.0669578067471222,0.02185939357647416,48
intfloat/multilingual-e5-large-instruct,ar,NM_vs_MN,0.20043836772614884,0.06173473385065365,0.02159159190067189,48
intfloat/multilingual-e5-large-instruct,ar,NQ_vs_QN,0.6299232952679347,0.053589081809624586,0.1974579338105186,48
intfloat/multilingual-e5-large-instruct,ar,NT_vs_TN,0.7359037127266816,0.09770449362165504,0.26480771251019347,48
intfloat/multilingual-e5-large-instruct,ar,QM_vs_MQ,0.5651573285344035,0.0652772655516709,0.1479917249351501,48
intfloat/multilingual-e5-large-instruct,ar,QT_vs_TQ,0.5696414549841327,0.05134949172718831,0.14829280553214788,48
intfloat/multilingual-e5-large-instruct,de,MT_vs_TM,0.21578037345980003,0.0767067197345697,0.02583687825450845,48
intfloat/multilingual-e5-large-instruct,de,NM_vs_MN,0.18380490016455864,0.05177458912638712,0.0178792210470208,48
intfloat/multilingual-e5-large-instruct,de,NQ_vs_QN,0.6802597569236163,0.04102069584773047,0.22929835775476617,48
intfloat/multilingual-e5-large-instruct,de,NT_vs_TN,0.6804001367941922,0.07629959093781014,0.2307269660489456,48
intfloat/multilingual-e5-large-instruct,de,QM_vs_MQ,0.4601205808768271,0.05063672308864961,0.10425963301035912,48
intfloat/multilingual-e5-large-instruct,de,QT_vs_TQ,0.550702932802023,0.04650092911370547,0.15154106912648077,48
intfloat/multilingual-e5-large-instruct,en,MT_vs_TM,0.14690522701688305,0.02551512132587008,0.010844540391809642,48
intfloat/multilingual-e5-large-instruct,en,NM_vs_MN,0.08825518074852967,0.019959394425552692,0.004025665727094373,48
intfloat/multilingual-e5-large-instruct,en,NQ_vs_QN,0.7266277974754874,0.03819130235169126,0.2626245294553254,48
intfloat/multilingual-e5-large-instruct,en,NT_vs_TN,0.5077985761998167,0.12072835518882154,0.13266418405502634,48
intfloat/multilingual-e5-large-instruct,en,QM_vs_MQ,0.41332362453984856,0.054065701852519486,0.08230050193046305,48
intfloat/multilingual-e5-large-instruct,en,QT_vs_TQ,0.5375508611795021,0.05118513982559122,0.14500465834888843,48
intfloat/multilingual-e5-large-instruct,es,MT_vs_TM,0.25664943619632247,0.12263623489376843,0.038712828705825854,48
intfloat/multilingual-e5-large-instruct,es,NM_vs_MN,0.19779418334810953,0.07442591627404598,0.021761346028646922,48
intfloat/multilingual-e5-large-instruct,es,NQ_vs_QN,0.7220369783752361,0.03345803993250167,0.2603714511655159,48
intfloat/multilingual-e5-large-instruct,es,NT_vs_TN,0.6540058716540307,0.12735296509637958,0.20934430927877312,48
intfloat/multilingual-e5-large-instruct,es,QM_vs_MQ,0.5027668523297093,0.05519370156309241,0.12110727702332696,48
intfloat/multilingual-e5-large-instruct,es,QT_vs_TQ,0.5341152425736649,0.04583313557467537,0.142149553449515,48
intfloat/multilingual-e5-large-instruct,fr,MT_vs_TM,0.1799793390926205,0.050497056552999305,0.017023417602985664,48
intfloat/multilingual-e5-large-instruct,fr,NM_vs_MN,0.13899224572147942,0.046244262197521875,0.010628722897669952,48
intfloat/multilingual-e5-large-instruct,fr,NQ_vs_QN,0.6991990679420615,0.034650580756588036,0.24368358783686972,48
intfloat/multilingual-e5-large-instruct,fr,NT_vs_TN,0.60136368385561,0.04772180289463643,0.17804103114803863,48
intfloat/multilingual-e5-large-instruct,fr,QM_vs_MQ,0.4809926950083761,0.08833664741235207,0.11680404820504146,48
intfloat/multilingual-e5-large-instruct,fr,QT_vs_TQ,0.49108358779832245,0.04695440334325853,0.12032278649482049,48
intfloat/multilingual-e5-large-instruct,ru,MT_vs_TM,0.3369111171133771,0.0818288836105786,0.05938549451450234,48
intfloat/multilingual-e5-large-instruct,ru,NM_vs_MN,0.332076051786693,0.08866069657997064,0.05795403947744149,48
intfloat/multilingual-e5-large-instruct,ru,NQ_vs_QN,0.8128280963409557,0.055750884436420706,0.3262352549912258,48
intfloat/multilingual-e5-large-instruct,ru,NT_vs_TN,1.2123860600247298,0.11290346656122494,0.5921496004596525,48
intfloat/multilingual-e5-large-instruct,ru,QM_vs_MQ,0.6033007268090625,0.04417188024469534,0.17226018851552663,48
intfloat/multilingual-e5-large-instruct,ru,QT_vs_TQ,0.555964368163614,0.03975483265291234,0.1506317436039483,48
intfloat/multilingual-e5-large-instruct,zh,MT_vs_TM,0.0,0.0,-4.163336342344337e-17,48
intfloat/multilingual-e5-large-instruct,zh,NM_vs_MN,0.0,0.0,2.3129646346357427e-18,48
intfloat/multilingual-e5-large-instruct,zh,NQ_vs_QN,0.8319978812948087,0.049774681614604056,0.3459601490349498,48
intfloat/multilingual-e5-large-instruct,zh,NT_vs_TN,0.41687636208641826,0.11433567743021572,0.09159832155559872,48
intfloat/multilingual-e5-large-instruct,zh,QM_vs_MQ,0.528390385552372,0.06408744555911346,0.12995569769474158,48
intfloat/multilingual-e5-large-instruct,zh,QT_vs_TQ,0.5518977833005986,0.053425408878610005,0.14668031232946804,48
