model,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test
bert-base-multilingual-cased,source_only,en,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,endpoint_mean,en,0.9140625,0.9142156693880832,0.25,2304,384
bert-base-multilingual-cased,cyclic_endpoint_mean,en,0.8984375,0.8983176380794977,0.25,2304,384
bert-base-multilingual-cased,anticyclic_endpoint_mean,en,0.9375,0.9379090516374897,0.25,2304,384
bert-base-multilingual-cased,endpoint_concat,en,1.0,1.0,0.25,2304,384
bert-base-multilingual-cased,delta_concat,en,1.0,1.0,0.25,2304,384
bert-base-multilingual-cased,signed_endpoint_sum,en,0.9635416666666666,0.9638475608822764,0.25,2304,384
bert-base-multilingual-cased,signed_delta_sum,en,0.9635416666666666,0.9638475608822764,0.25,2304,384
bert-base-multilingual-cased,source_only,es,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,endpoint_mean,es,0.8333333333333334,0.8292741474566585,0.25,2304,384
bert-base-multilingual-cased,cyclic_endpoint_mean,es,0.7682291666666666,0.7483584065759596,0.25,2304,384
bert-base-multilingual-cased,anticyclic_endpoint_mean,es,0.8411458333333334,0.8382348721583346,0.25,2304,384
bert-base-multilingual-cased,endpoint_concat,es,0.984375,0.9843996699600736,0.25,2304,384
bert-base-multilingual-cased,delta_concat,es,0.9427083333333334,0.9414848335755233,0.25,2304,384
bert-base-multilingual-cased,signed_endpoint_sum,es,0.6588541666666666,0.6515009123046176,0.25,2304,384
bert-base-multilingual-cased,signed_delta_sum,es,0.6588541666666666,0.6515009123046176,0.25,2304,384
bert-base-multilingual-cased,source_only,fr,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,endpoint_mean,fr,0.734375,0.729792512036988,0.25,2304,384
bert-base-multilingual-cased,cyclic_endpoint_mean,fr,0.8098958333333334,0.8125962226996062,0.25,2304,384
bert-base-multilingual-cased,anticyclic_endpoint_mean,fr,0.6328125,0.5925100164230599,0.25,2304,384
bert-base-multilingual-cased,endpoint_concat,fr,0.9401041666666666,0.9402177925433739,0.25,2304,384
bert-base-multilingual-cased,delta_concat,fr,0.9817708333333334,0.9817465706912942,0.25,2304,384
bert-base-multilingual-cased,signed_endpoint_sum,fr,0.6380208333333334,0.5637774108975239,0.25,2304,384
bert-base-multilingual-cased,signed_delta_sum,fr,0.6380208333333334,0.5637774108975239,0.25,2304,384
bert-base-multilingual-cased,source_only,de,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,endpoint_mean,de,0.8385416666666666,0.8372346074082541,0.25,2304,384
bert-base-multilingual-cased,cyclic_endpoint_mean,de,0.8229166666666666,0.8124677502579979,0.25,2304,384
bert-base-multilingual-cased,anticyclic_endpoint_mean,de,0.8229166666666666,0.8244930580928023,0.25,2304,384
bert-base-multilingual-cased,endpoint_concat,de,0.96875,0.9687918469577528,0.25,2304,384
bert-base-multilingual-cased,delta_concat,de,1.0,1.0,0.25,2304,384
bert-base-multilingual-cased,signed_endpoint_sum,de,0.8541666666666666,0.8476929571645424,0.25,2304,384
bert-base-multilingual-cased,signed_delta_sum,de,0.8541666666666666,0.8476929571645424,0.25,2304,384
bert-base-multilingual-cased,source_only,ru,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,endpoint_mean,ru,0.6484375,0.6250634201277978,0.25,2304,384
bert-base-multilingual-cased,cyclic_endpoint_mean,ru,0.6119791666666666,0.5830856643356643,0.25,2304,384
bert-base-multilingual-cased,anticyclic_endpoint_mean,ru,0.6432291666666666,0.616025978840811,0.25,2304,384
bert-base-multilingual-cased,endpoint_concat,ru,0.6484375,0.604922776975658,0.25,2304,384
bert-base-multilingual-cased,delta_concat,ru,0.7291666666666666,0.7221369777295527,0.25,2304,384
bert-base-multilingual-cased,signed_endpoint_sum,ru,0.1484375,0.13083600275523855,0.25,2304,384
bert-base-multilingual-cased,signed_delta_sum,ru,0.1484375,0.13083600275523855,0.25,2304,384
bert-base-multilingual-cased,source_only,zh,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,endpoint_mean,zh,0.7161458333333334,0.7041053870941089,0.25,2304,384
bert-base-multilingual-cased,cyclic_endpoint_mean,zh,0.7760416666666666,0.7603896103896104,0.25,2304,384
bert-base-multilingual-cased,anticyclic_endpoint_mean,zh,0.6484375,0.6215393621650744,0.25,2304,384
bert-base-multilingual-cased,endpoint_concat,zh,0.8515625,0.8433399337825898,0.25,2304,384
bert-base-multilingual-cased,delta_concat,zh,0.9296875,0.929043384202497,0.25,2304,384
bert-base-multilingual-cased,signed_endpoint_sum,zh,0.6614583333333334,0.5930855032253619,0.25,2304,384
bert-base-multilingual-cased,signed_delta_sum,zh,0.6614583333333334,0.5930855032253619,0.25,2304,384
bert-base-multilingual-cased,source_only,ar,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,endpoint_mean,ar,0.328125,0.23157427937915742,0.25,2304,384
bert-base-multilingual-cased,cyclic_endpoint_mean,ar,0.2682291666666667,0.13546049795767565,0.25,2304,384
bert-base-multilingual-cased,anticyclic_endpoint_mean,ar,0.5494791666666666,0.5183535108011291,0.25,2304,384
bert-base-multilingual-cased,endpoint_concat,ar,0.453125,0.34354091610910964,0.25,2304,384
bert-base-multilingual-cased,delta_concat,ar,0.5989583333333334,0.5418852494533926,0.25,2304,384
bert-base-multilingual-cased,signed_endpoint_sum,ar,0.1796875,0.1351539851632423,0.25,2304,384
bert-base-multilingual-cased,signed_delta_sum,ar,0.1796875,0.1351539851632423,0.25,2304,384
