model,feature,mean_macro_f1,min_macro_f1,max_macro_f1,n
BAAI/bge-m3,anticyclic_endpoint_mean,0.8579066344011111,0.4142030520193323,0.997395762688875,7
BAAI/bge-m3,cyclic_endpoint_mean,0.8715944391932533,0.4489904795787149,1.0,7
BAAI/bge-m3,delta_concat,0.8957604275508488,0.3717207526588492,1.0,7
BAAI/bge-m3,endpoint_concat,0.8908933043966423,0.3662469733656174,1.0,7
BAAI/bge-m3,endpoint_mean,0.8676836531663399,0.4383198105978675,1.0,7
BAAI/bge-m3,signed_delta_sum,0.7483913560103866,0.0389147930505876,1.0,7
BAAI/bge-m3,signed_endpoint_sum,0.7483913560103866,0.0389147930505876,1.0,7
BAAI/bge-m3,source_only,0.1,0.1,0.1,7
bert-base-multilingual-cased,anticyclic_endpoint_mean,0.7070094071598144,0.5183535108011291,0.9379090516374896,7
bert-base-multilingual-cased,cyclic_endpoint_mean,0.6786679700422874,0.1354604979576756,0.8983176380794977,7
bert-base-multilingual-cased,delta_concat,0.8737567165217514,0.5418852494533926,1.0,7
bert-base-multilingual-cased,endpoint_concat,0.8121732766183654,0.3435409161091096,1.0,7
bert-base-multilingual-cased,endpoint_mean,0.6958942889844354,0.2315742793791574,0.9142156693880832,7
bert-base-multilingual-cased,signed_delta_sum,0.5551277617704005,0.1308360027552385,0.9638475608822764,7
bert-base-multilingual-cased,signed_endpoint_sum,0.5551277617704005,0.1308360027552385,0.9638475608822764,7
bert-base-multilingual-cased,source_only,0.1,0.1,0.1,7
distilbert-base-multilingual-cased,anticyclic_endpoint_mean,0.5939756594661455,0.1208403361344537,0.8102229371924309,7
distilbert-base-multilingual-cased,cyclic_endpoint_mean,0.6013497690089444,0.110622491674494,0.7673131008145682,7
distilbert-base-multilingual-cased,delta_concat,0.8860839791397028,0.5166492088869287,0.9843597262952102,7
distilbert-base-multilingual-cased,endpoint_concat,0.7554673700820921,0.1401564537157757,0.997395762688875,7
distilbert-base-multilingual-cased,endpoint_mean,0.5943193935899221,0.1157804459691252,0.7801795144898593,7
distilbert-base-multilingual-cased,signed_delta_sum,0.56453650284998,0.1137142857142857,0.9791304347826086,7
distilbert-base-multilingual-cased,signed_endpoint_sum,0.56453650284998,0.1137142857142857,0.9791304347826086,7
distilbert-base-multilingual-cased,source_only,0.1,0.1,0.1,7
intfloat/multilingual-e5-large,anticyclic_endpoint_mean,0.892756256132311,0.461391304347826,1.0,7
intfloat/multilingual-e5-large,cyclic_endpoint_mean,0.8812115836781914,0.4457223567393059,1.0,7
intfloat/multilingual-e5-large,delta_concat,0.9296372325140565,0.5701473859844272,1.0,7
intfloat/multilingual-e5-large,endpoint_concat,0.9113819831346585,0.4161884208241904,1.0,7
intfloat/multilingual-e5-large,endpoint_mean,0.89364241319932,0.4618112674420855,1.0,7
intfloat/multilingual-e5-large,signed_delta_sum,0.8052451733784979,0.0842654781561534,1.0,7
intfloat/multilingual-e5-large,signed_endpoint_sum,0.8052451733784979,0.0842654781561534,1.0,7
intfloat/multilingual-e5-large,source_only,0.1,0.1,0.1,7
sentence-transformers/LaBSE,anticyclic_endpoint_mean,0.877832037108587,0.375,1.0,7
sentence-transformers/LaBSE,cyclic_endpoint_mean,0.8697441246080444,0.375,1.0,7
sentence-transformers/LaBSE,delta_concat,0.9133929497725367,0.6647810648743637,1.0,7
sentence-transformers/LaBSE,endpoint_concat,0.9011864947894359,0.5133910904153401,1.0,7
sentence-transformers/LaBSE,endpoint_mean,0.8782022316040747,0.375,1.0,7
sentence-transformers/LaBSE,signed_delta_sum,0.8751006307183969,0.3359072888190075,1.0,7
sentence-transformers/LaBSE,signed_endpoint_sum,0.8751006307183969,0.3359072888190075,1.0,7
sentence-transformers/LaBSE,source_only,0.1,0.1,0.1,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,anticyclic_endpoint_mean,0.7724099244011461,0.1002087682672233,0.997395762688875,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,cyclic_endpoint_mean,0.7545234622101926,0.1302528334786399,1.0,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,delta_concat,0.8329076742448762,0.1476835093011563,1.0,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_concat,0.8230386116131138,0.1,1.0,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_mean,0.7681077538458477,0.1208546117769671,1.0,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_delta_sum,0.7573626796046694,0.3334351495864546,1.0,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_endpoint_sum,0.7573626796046694,0.3334351495864546,1.0,7
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,source_only,0.1,0.1,0.1,7
xlm-roberta-base,anticyclic_endpoint_mean,0.5809624889709093,0.1303066616898807,0.7666022657685242,7
xlm-roberta-base,cyclic_endpoint_mean,0.5258069144791072,0.1,0.7749999999999999,7
xlm-roberta-base,delta_concat,0.8007371684658866,0.4673777359781121,0.9947915960222083,7
xlm-roberta-base,endpoint_concat,0.7543516924812615,0.1157804459691252,0.9947911014650028,7
xlm-roberta-base,endpoint_mean,0.5655723813786112,0.1107299409186201,0.7706246496881172,7
xlm-roberta-base,signed_delta_sum,0.646793255239161,0.1227910103726469,0.9713095263370204,7
xlm-roberta-base,signed_endpoint_sum,0.646793255239161,0.1227910103726469,0.9713095263370204,7
xlm-roberta-base,source_only,0.1,0.1,0.1,7
