model,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test
intfloat/multilingual-e5-large,source_only,en,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_mean,en,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,cyclic_endpoint_mean,en,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,anticyclic_endpoint_mean,en,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_concat,en,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,delta_concat,en,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,signed_endpoint_sum,en,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,signed_delta_sum,en,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,source_only,es,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_mean,es,0.9791666666666666,0.9791463017269468,0.25,2304,384
intfloat/multilingual-e5-large,cyclic_endpoint_mean,es,0.9791666666666666,0.9791644058600109,0.25,2304,384
intfloat/multilingual-e5-large,anticyclic_endpoint_mean,es,0.9817708333333334,0.9817465706912943,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_concat,es,0.9895833333333334,0.9895788102475033,0.25,2304,384
intfloat/multilingual-e5-large,delta_concat,es,0.9791666666666666,0.9791304347826086,0.25,2304,384
intfloat/multilingual-e5-large,signed_endpoint_sum,es,0.9817708333333334,0.981758462498982,0.25,2304,384
intfloat/multilingual-e5-large,signed_delta_sum,es,0.9817708333333334,0.981758462498982,0.25,2304,384
intfloat/multilingual-e5-large,source_only,fr,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_mean,fr,0.9765625,0.9766275044083021,0.25,2304,384
intfloat/multilingual-e5-large,cyclic_endpoint_mean,fr,0.9427083333333334,0.9425977190313318,0.25,2304,384
intfloat/multilingual-e5-large,anticyclic_endpoint_mean,fr,0.9869791666666666,0.9869703303564157,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_concat,fr,0.9973958333333334,0.997395762688875,0.25,2304,384
intfloat/multilingual-e5-large,delta_concat,fr,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,signed_endpoint_sum,fr,0.9609375,0.960927960927961,0.25,2304,384
intfloat/multilingual-e5-large,signed_delta_sum,fr,0.9609375,0.960927960927961,0.25,2304,384
intfloat/multilingual-e5-large,source_only,de,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_mean,de,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,cyclic_endpoint_mean,de,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,anticyclic_endpoint_mean,de,0.9947916666666666,0.9947911014650027,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_concat,de,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,delta_concat,de,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,signed_endpoint_sum,de,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,signed_delta_sum,de,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,source_only,ru,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_mean,ru,0.8619791666666666,0.8641555098096232,0.25,2304,384
intfloat/multilingual-e5-large,cyclic_endpoint_mean,ru,0.8333333333333334,0.8298418026340206,0.25,2304,384
intfloat/multilingual-e5-large,anticyclic_endpoint_mean,ru,0.84375,0.8478835978835979,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_concat,ru,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,delta_concat,ru,0.9895833333333334,0.9895553558509677,0.25,2304,384
intfloat/multilingual-e5-large,signed_endpoint_sum,ru,0.8567708333333334,0.8394780689752682,0.25,2304,384
intfloat/multilingual-e5-large,signed_delta_sum,ru,0.8567708333333334,0.8394780689752682,0.25,2304,384
intfloat/multilingual-e5-large,source_only,zh,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_mean,zh,0.9739583333333334,0.9737563090082829,0.25,2304,384
intfloat/multilingual-e5-large,cyclic_endpoint_mean,zh,0.9713541666666666,0.9711548014826703,0.25,2304,384
intfloat/multilingual-e5-large,anticyclic_endpoint_mean,zh,0.9765625,0.9765108881820406,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_concat,zh,0.9765625,0.9765108881820406,0.25,2304,384
intfloat/multilingual-e5-large,delta_concat,zh,0.96875,0.9686274509803922,0.25,2304,384
intfloat/multilingual-e5-large,signed_endpoint_sum,zh,0.796875,0.7702862430911211,0.25,2304,384
intfloat/multilingual-e5-large,signed_delta_sum,zh,0.796875,0.7702862430911211,0.25,2304,384
intfloat/multilingual-e5-large,source_only,ar,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_mean,ar,0.5234375,0.4618112674420855,0.25,2304,384
intfloat/multilingual-e5-large,cyclic_endpoint_mean,ar,0.5260416666666666,0.44572235673930594,0.25,2304,384
intfloat/multilingual-e5-large,anticyclic_endpoint_mean,ar,0.5130208333333334,0.46139130434782605,0.25,2304,384
intfloat/multilingual-e5-large,endpoint_concat,ar,0.5208333333333334,0.4161884208241904,0.25,2304,384
intfloat/multilingual-e5-large,delta_concat,ar,0.6484375,0.5701473859844272,0.25,2304,384
intfloat/multilingual-e5-large,signed_endpoint_sum,ar,0.12760416666666666,0.0842654781561534,0.25,2304,384
intfloat/multilingual-e5-large,signed_delta_sum,ar,0.12760416666666666,0.0842654781561534,0.25,2304,384
