model,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,source_only,en,0.25,0.1,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_mean,en,0.9921875,0.9921855921855922,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,cyclic_endpoint_mean,en,1.0,1.0,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,anticyclic_endpoint_mean,en,0.9895833333333334,0.9895788102475032,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_concat,en,1.0,1.0,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,delta_concat,en,1.0,1.0,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_endpoint_sum,en,1.0,1.0,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_delta_sum,en,1.0,1.0,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,source_only,es,0.25,0.1,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_mean,es,0.7473958333333334,0.6913739727569514,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,cyclic_endpoint_mean,es,0.7447916666666666,0.6857086117395493,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,anticyclic_endpoint_mean,es,0.7369791666666666,0.6945767031537523,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,endpoint_concat,es,0.8645833333333334,0.8584392014519057,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,delta_concat,es,0.875,0.8718718718718719,0.25,2304,384
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,signed_endpoint_sum,es,0.7682291666666666,0.7718771183541981,0.25,2304,384
