model,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test
xlm-roberta-base,source_only,en,0.25,0.1,0.25,2304,384
xlm-roberta-base,endpoint_mean,en,0.7552083333333334,0.7069844376106607,0.25,2304,384
xlm-roberta-base,cyclic_endpoint_mean,en,0.765625,0.7188362624122315,0.25,2304,384
xlm-roberta-base,anticyclic_endpoint_mean,en,0.78125,0.7480604611879409,0.25,2304,384
xlm-roberta-base,endpoint_concat,en,0.9895833333333334,0.9895822029300054,0.25,2304,384
xlm-roberta-base,delta_concat,en,0.9869791666666666,0.9869703303564158,0.25,2304,384
xlm-roberta-base,signed_endpoint_sum,en,0.9713541666666666,0.9713095263370205,0.25,2304,384
xlm-roberta-base,signed_delta_sum,en,0.9713541666666666,0.9713095263370205,0.25,2304,384
xlm-roberta-base,source_only,es,0.25,0.1,0.25,2304,384
xlm-roberta-base,endpoint_mean,es,0.7708333333333334,0.7706246496881172,0.25,2304,384
xlm-roberta-base,cyclic_endpoint_mean,es,0.7552083333333334,0.7530965239332654,0.25,2304,384
xlm-roberta-base,anticyclic_endpoint_mean,es,0.7708333333333334,0.7666022657685242,0.25,2304,384
xlm-roberta-base,endpoint_concat,es,0.9947916666666666,0.9947911014650027,0.25,2304,384
xlm-roberta-base,delta_concat,es,0.9947916666666666,0.9947915960222085,0.25,2304,384
xlm-roberta-base,signed_endpoint_sum,es,0.8880208333333334,0.8870370370370371,0.25,2304,384
xlm-roberta-base,signed_delta_sum,es,0.8880208333333334,0.8870370370370371,0.25,2304,384
xlm-roberta-base,source_only,fr,0.25,0.1,0.25,2304,384
xlm-roberta-base,endpoint_mean,fr,0.7578125,0.7624209575429086,0.25,2304,384
xlm-roberta-base,cyclic_endpoint_mean,fr,0.7708333333333334,0.7749999999999999,0.25,2304,384
xlm-roberta-base,anticyclic_endpoint_mean,fr,0.7161458333333334,0.7210223135617684,0.25,2304,384
xlm-roberta-base,endpoint_concat,fr,0.8255208333333334,0.804149295215406,0.25,2304,384
xlm-roberta-base,delta_concat,fr,0.8697916666666666,0.8635587047801865,0.25,2304,384
xlm-roberta-base,signed_endpoint_sum,fr,0.6354166666666666,0.6124602898720619,0.25,2304,384
xlm-roberta-base,signed_delta_sum,fr,0.6354166666666666,0.6124602898720619,0.25,2304,384
xlm-roberta-base,source_only,de,0.25,0.1,0.25,2304,384
xlm-roberta-base,endpoint_mean,de,0.6015625,0.5498121697216265,0.25,2304,384
xlm-roberta-base,cyclic_endpoint_mean,de,0.5677083333333334,0.46529765929360245,0.25,2304,384
xlm-roberta-base,anticyclic_endpoint_mean,de,0.59375,0.5689877252377252,0.25,2304,384
xlm-roberta-base,endpoint_concat,de,0.8489583333333334,0.8495783869477836,0.25,2304,384
xlm-roberta-base,delta_concat,de,0.890625,0.8851282051282051,0.25,2304,384
xlm-roberta-base,signed_endpoint_sum,de,0.9322916666666666,0.9323373510021151,0.25,2304,384
xlm-roberta-base,signed_delta_sum,de,0.9322916666666666,0.9323373510021151,0.25,2304,384
xlm-roberta-base,source_only,ru,0.25,0.1,0.25,2304,384
xlm-roberta-base,endpoint_mean,ru,0.4244791666666667,0.3702767095382494,0.25,2304,384
xlm-roberta-base,cyclic_endpoint_mean,ru,0.34375,0.30001966622069276,0.25,2304,384
xlm-roberta-base,anticyclic_endpoint_mean,ru,0.4609375,0.38346049947697114,0.25,2304,384
xlm-roberta-base,endpoint_concat,ru,0.7526041666666666,0.7528219000177827,0.25,2304,384
xlm-roberta-base,delta_concat,ru,0.59375,0.5484313192905454,0.25,2304,384
xlm-roberta-base,signed_endpoint_sum,ru,0.5026041666666666,0.4818773836390364,0.25,2304,384
xlm-roberta-base,signed_delta_sum,ru,0.5026041666666666,0.4818773836390364,0.25,2304,384
xlm-roberta-base,source_only,zh,0.25,0.1,0.25,2304,384
xlm-roberta-base,endpoint_mean,zh,0.7109375,0.6881578046300958,0.25,2304,384
xlm-roberta-base,cyclic_endpoint_mean,zh,0.6171875,0.5683982894939583,0.25,2304,384
xlm-roberta-base,anticyclic_endpoint_mean,zh,0.7604166666666666,0.7482974958735541,0.25,2304,384
xlm-roberta-base,endpoint_concat,zh,0.7890625,0.7737585148237252,0.25,2304,384
xlm-roberta-base,delta_concat,zh,0.8723958333333334,0.8589022877055331,0.25,2304,384
xlm-roberta-base,signed_endpoint_sum,zh,0.5911458333333334,0.5197401884142088,0.25,2304,384
xlm-roberta-base,signed_delta_sum,zh,0.5911458333333334,0.5197401884142088,0.25,2304,384
xlm-roberta-base,source_only,ar,0.25,0.1,0.25,2304,384
xlm-roberta-base,endpoint_mean,ar,0.2552083333333333,0.11072994091862016,0.25,2304,384
xlm-roberta-base,cyclic_endpoint_mean,ar,0.25,0.1,0.25,2304,384
xlm-roberta-base,anticyclic_endpoint_mean,ar,0.265625,0.13030666168988075,0.25,2304,384
xlm-roberta-base,endpoint_concat,ar,0.2578125,0.11578044596912522,0.25,2304,384
xlm-roberta-base,delta_concat,ar,0.5286458333333334,0.46737773597811216,0.25,2304,384
xlm-roberta-base,signed_endpoint_sum,ar,0.10416666666666667,0.12279101037264695,0.25,2304,384
xlm-roberta-base,signed_delta_sum,ar,0.10416666666666667,0.12279101037264695,0.25,2304,384
