model,language,operator,centroid_norm,n
BAAI/bge-m3,ar,N,4.831295013427734,160
BAAI/bge-m3,ar,Q,8.573342323303223,160
BAAI/bge-m3,ar,M,2.1626029014587402,160
BAAI/bge-m3,ar,T,5.677918910980225,160
BAAI/bge-m3,de,N,8.949671745300293,160
BAAI/bge-m3,de,Q,6.887101650238037,160
BAAI/bge-m3,de,M,3.1149661540985107,160
BAAI/bge-m3,de,T,5.20340633392334,160
BAAI/bge-m3,en,N,11.0181884765625,160
BAAI/bge-m3,en,Q,5.12894868850708,160
BAAI/bge-m3,en,M,2.737555980682373,160
BAAI/bge-m3,en,T,4.999772071838379,160
BAAI/bge-m3,es,N,10.441041946411133,160
BAAI/bge-m3,es,Q,5.746570110321045,160
BAAI/bge-m3,es,M,2.752502918243408,160
BAAI/bge-m3,es,T,3.461310625076294,160
BAAI/bge-m3,fr,N,9.573942184448242,160
BAAI/bge-m3,fr,Q,7.396694183349609,160
BAAI/bge-m3,fr,M,2.8865737915039062,160
BAAI/bge-m3,fr,T,4.073873519897461,160
BAAI/bge-m3,ru,N,6.197535514831543,160
BAAI/bge-m3,ru,Q,7.658473014831543,160
BAAI/bge-m3,ru,M,3.1264777183532715,160
BAAI/bge-m3,ru,T,4.699509143829346,160
BAAI/bge-m3,zh,N,8.567639350891113,160
BAAI/bge-m3,zh,Q,5.614288806915283,160
BAAI/bge-m3,zh,M,2.4085662364959717,160
BAAI/bge-m3,zh,T,3.9922077655792236,160
