model,language,operator,centroid_norm,n
BAAI/bge-m3,ar,N,4.831295013427734,160
BAAI/bge-m3,ar,Q,8.573342323303223,160
BAAI/bge-m3,ar,M,2.16260290145874,160
BAAI/bge-m3,ar,T,5.677918910980225,160
BAAI/bge-m3,de,N,8.949671745300293,160
BAAI/bge-m3,de,Q,6.887101650238037,160
BAAI/bge-m3,de,M,3.1149661540985107,160
BAAI/bge-m3,de,T,5.20340633392334,160
BAAI/bge-m3,en,N,11.0181884765625,160
BAAI/bge-m3,en,Q,5.12894868850708,160
BAAI/bge-m3,en,M,2.737555980682373,160
BAAI/bge-m3,en,T,4.999772071838379,160
BAAI/bge-m3,es,N,10.441041946411133,160
BAAI/bge-m3,es,Q,5.746570110321045,160
BAAI/bge-m3,es,M,2.752502918243408,160
BAAI/bge-m3,es,T,3.461310625076294,160
BAAI/bge-m3,fr,N,9.573942184448242,160
BAAI/bge-m3,fr,Q,7.396694183349609,160
BAAI/bge-m3,fr,M,2.8865737915039062,160
BAAI/bge-m3,fr,T,4.073873519897461,160
BAAI/bge-m3,ru,N,6.197535514831543,160
BAAI/bge-m3,ru,Q,7.658473014831543,160
BAAI/bge-m3,ru,M,3.1264777183532715,160
BAAI/bge-m3,ru,T,4.699509143829346,160
BAAI/bge-m3,zh,N,8.567639350891113,160
BAAI/bge-m3,zh,Q,5.614288806915283,160
BAAI/bge-m3,zh,M,2.408566236495972,160
BAAI/bge-m3,zh,T,3.992207765579224,160
bert-base-multilingual-cased,ar,N,2.0190415382385254,160
bert-base-multilingual-cased,ar,Q,4.900406837463379,160
bert-base-multilingual-cased,ar,M,1.5700998306274414,160
bert-base-multilingual-cased,ar,T,2.0440051555633545,160
bert-base-multilingual-cased,de,N,2.6282663345336914,160
bert-base-multilingual-cased,de,Q,5.822173595428467,160
bert-base-multilingual-cased,de,M,2.2325284481048584,160
bert-base-multilingual-cased,de,T,2.9622061252593994,160
bert-base-multilingual-cased,en,N,3.010473251342773,160
bert-base-multilingual-cased,en,Q,7.473374843597412,160
bert-base-multilingual-cased,en,M,2.821630954742432,160
bert-base-multilingual-cased,en,T,3.547912120819092,160
bert-base-multilingual-cased,es,N,2.213306188583374,160
bert-base-multilingual-cased,es,Q,5.755840301513672,160
bert-base-multilingual-cased,es,M,1.9887096881866453,160
bert-base-multilingual-cased,es,T,2.284661769866944,160
bert-base-multilingual-cased,fr,N,2.667362689971924,160
bert-base-multilingual-cased,fr,Q,7.158334255218506,160
bert-base-multilingual-cased,fr,M,1.316526174545288,160
bert-base-multilingual-cased,fr,T,2.26534104347229,160
bert-base-multilingual-cased,ru,N,1.8691504001617432,160
bert-base-multilingual-cased,ru,Q,4.285477161407471,160
bert-base-multilingual-cased,ru,M,2.0065793991088867,160
bert-base-multilingual-cased,ru,T,1.9696123600006104,160
bert-base-multilingual-cased,zh,N,2.970656633377075,160
bert-base-multilingual-cased,zh,Q,7.116032123565674,160
bert-base-multilingual-cased,zh,M,1.7607550621032717,160
bert-base-multilingual-cased,zh,T,3.158290386199951,160
distilbert-base-multilingual-cased,ar,N,1.2754651308059692,160
distilbert-base-multilingual-cased,ar,Q,2.593400478363037,160
distilbert-base-multilingual-cased,ar,M,1.0315619707107544,160
distilbert-base-multilingual-cased,ar,T,1.4446690082550049,160
distilbert-base-multilingual-cased,de,N,1.7325401306152344,160
distilbert-base-multilingual-cased,de,Q,3.5326743125915527,160
distilbert-base-multilingual-cased,de,M,0.91177237033844,160
distilbert-base-multilingual-cased,de,T,1.8563796281814573,160
distilbert-base-multilingual-cased,en,N,2.4487290382385254,160
distilbert-base-multilingual-cased,en,Q,4.985327243804932,160
distilbert-base-multilingual-cased,en,M,1.596670150756836,160
distilbert-base-multilingual-cased,en,T,2.693485736846924,160
distilbert-base-multilingual-cased,es,N,1.5825992822647097,160
distilbert-base-multilingual-cased,es,Q,3.2747738361358643,160
distilbert-base-multilingual-cased,es,M,1.0136590003967283,160
distilbert-base-multilingual-cased,es,T,1.5257856845855713,160
distilbert-base-multilingual-cased,fr,N,2.0136873722076416,160
distilbert-base-multilingual-cased,fr,Q,3.871079921722412,160
distilbert-base-multilingual-cased,fr,M,0.969524085521698,160
distilbert-base-multilingual-cased,fr,T,1.6002501249313354,160
distilbert-base-multilingual-cased,ru,N,1.2665563821792605,160
distilbert-base-multilingual-cased,ru,Q,2.663700580596924,160
distilbert-base-multilingual-cased,ru,M,1.360871434211731,160
distilbert-base-multilingual-cased,ru,T,1.4300497770309448,160
distilbert-base-multilingual-cased,zh,N,1.748376727104187,160
distilbert-base-multilingual-cased,zh,Q,4.228247165679932,160
distilbert-base-multilingual-cased,zh,M,1.3611855506896973,160
distilbert-base-multilingual-cased,zh,T,1.6271259784698486,160
intfloat/multilingual-e5-large,ar,N,3.371070146560669,160
intfloat/multilingual-e5-large,ar,Q,9.071398735046388,160
intfloat/multilingual-e5-large,ar,M,3.346165895462036,160
intfloat/multilingual-e5-large,ar,T,3.7853426933288574,160
intfloat/multilingual-e5-large,de,N,7.478070259094238,160
intfloat/multilingual-e5-large,de,Q,7.901573181152344,160
intfloat/multilingual-e5-large,de,M,3.5097906589508057,160
intfloat/multilingual-e5-large,de,T,5.176678657531738,160
intfloat/multilingual-e5-large,en,N,10.574740409851074,160
intfloat/multilingual-e5-large,en,Q,7.548550605773926,160
intfloat/multilingual-e5-large,en,M,3.8467586040496826,160
intfloat/multilingual-e5-large,en,T,5.558111667633057,160
intfloat/multilingual-e5-large,es,N,8.417285919189453,160
intfloat/multilingual-e5-large,es,Q,6.684597015380859,160
intfloat/multilingual-e5-large,es,M,3.7722396850585938,160
intfloat/multilingual-e5-large,es,T,4.278323173522949,160
intfloat/multilingual-e5-large,fr,N,7.674079418182373,160
intfloat/multilingual-e5-large,fr,Q,8.119433403015137,160
intfloat/multilingual-e5-large,fr,M,2.8173091411590576,160
intfloat/multilingual-e5-large,fr,T,4.100082874298096,160
intfloat/multilingual-e5-large,ru,N,6.120389461517334,160
intfloat/multilingual-e5-large,ru,Q,9.228038787841797,160
intfloat/multilingual-e5-large,ru,M,3.7891550064086914,160
intfloat/multilingual-e5-large,ru,T,5.424510002136231,160
intfloat/multilingual-e5-large,zh,N,6.924907684326172,160
intfloat/multilingual-e5-large,zh,Q,6.183342456817627,160
intfloat/multilingual-e5-large,zh,M,2.4840967655181885,160
intfloat/multilingual-e5-large,zh,T,3.624911785125733,160
