model,classifier,effect,mean,std,n_seeds,ci95_low,ci95_high,all_seed_effects_positive
bert-base-uncased,linear_svc,delta_minus_y_only,0.04429166666666671,0.0231130787590537,5,0.01559298888390154,0.07299034444943188,True
bert-base-uncased,linear_svc,delta_minus_concat,0.01062500000000004,0.016594243689036003,5,-0.009979474966096021,0.031229474966096103,False
bert-base-uncased,logreg,delta_minus_y_only,0.0444166666666667,0.00822243923324729,5,0.03420715989332536,0.054626173440008044,True
bert-base-uncased,logreg,delta_minus_concat,0.02400000000000002,0.004891176863609737,5,0.017926801779608596,0.030073198220391447,True
distilgpt2,linear_svc,delta_minus_y_only,0.13066666666666665,0.017464249196572988,5,0.10898193718362292,0.15235139614971038,True
distilgpt2,linear_svc,delta_minus_concat,0.0968333333333333,0.010228933296726927,5,0.0841324351187597,0.1095342315479069,True
distilgpt2,logreg,delta_minus_y_only,0.06491666666666669,0.002670407532360718,5,0.06160091777320223,0.06823241556013115,True
distilgpt2,logreg,delta_minus_concat,0.038416666666666655,0.0022563567610937255,5,0.03561502970931292,0.04121830362402039,True
distilroberta-base,linear_svc,delta_minus_y_only,0.050416666666666686,0.005810969033742233,5,0.04320139562279203,0.05763193771054134,True
distilroberta-base,linear_svc,delta_minus_concat,0.03937499999999998,0.008737590406462816,5,0.028525848561244488,0.05022415143875547,True
distilroberta-base,logreg,delta_minus_y_only,0.04758333333333331,0.005119237953272167,5,0.041226959868516926,0.053939706798149696,True
distilroberta-base,logreg,delta_minus_concat,0.03866666666666665,0.005131939745900717,5,0.03229452184323074,0.045038811490102554,True
gpt2,linear_svc,delta_minus_y_only,0.08362499999999999,0.014814096843134847,5,0.06523086928397538,0.1020191307160246,True
gpt2,linear_svc,delta_minus_concat,0.05670833333333329,0.006359116924192787,5,0.04881244678819484,0.06460421987847174,True
gpt2,logreg,delta_minus_y_only,-0.01100000000000001,0.004875623179542168,5,-0.0170538857708453,-0.004946114229154721,False
gpt2,logreg,delta_minus_concat,-0.02074999999999998,0.0049335867052052364,5,-0.02687585699387006,-0.0146241430061299,False
roberta-base,linear_svc,delta_minus_y_only,0.04262499999999998,0.009699924827887436,5,0.030580952555929287,0.05466904744407068,True
roberta-base,linear_svc,delta_minus_concat,0.01512500000000001,0.016370148772486246,5,-0.0052012243760357416,0.03545122437603576,False
roberta-base,logreg,delta_minus_y_only,-0.007374999999999998,0.01421987556595031,5,-0.025031307549177907,0.010281307549177913,False
roberta-base,logreg,delta_minus_concat,-0.01795833333333332,0.011435014150017943,5,-0.032156778722361244,-0.003759887944305396,False
