model,feature,acc,f1,baseline
bert-base-uncased,x_only,0.2,0.06666666666666667,0.2
bert-base-uncased,y_only,0.825,0.8266267066267066,0.2
bert-base-uncased,delta,0.725,0.7253209109730848,0.2
bert-base-uncased,concat_xy,0.8,0.7973776223776223,0.2
distilroberta-base,x_only,0.2,0.06666666666666667,0.2
distilroberta-base,y_only,0.65,0.6105396825396825,0.2
distilroberta-base,delta,0.725,0.6529765886287625,0.2
distilroberta-base,concat_xy,0.625,0.5702564102564103,0.2
roberta-base,x_only,0.2,0.06666666666666667,0.2
roberta-base,y_only,0.725,0.7210136268959799,0.2
roberta-base,delta,0.675,0.6333333333333332,0.2
roberta-base,concat_xy,0.725,0.7185407781073416,0.2
gpt2,x_only,0.2,0.06666666666666667,0.2
gpt2,y_only,0.475,0.43577777777777776,0.2
gpt2,delta,0.425,0.34807692307692306,0.2
gpt2,concat_xy,0.475,0.43376068376068383,0.2
distilgpt2,x_only,0.2,0.09588550983899821,0.2
distilgpt2,y_only,0.6,0.544068376068376,0.2
distilgpt2,delta,0.65,0.5953491572067422,0.2
distilgpt2,concat_xy,0.575,0.5168888888888888,0.2
