model,train_size,mean_f1,std_f1,mean_acc,n
bert-base-uncased,10,0.16259942269335398,0.10341163299411371,0.2717391304347826,23
bert-base-uncased,15,0.23775623752201722,0.07130070070551327,0.34017857142857144,28
bert-base-uncased,20,0.345182543728105,0.11399784173902029,0.4232758620689655,29
bert-base-uncased,25,0.4157567199415346,0.13854011247785197,0.48166666666666663,30
bert-base-uncased,40,0.6896892911010558,0.0,0.7,30
distilgpt2,10,0.2331198516686444,0.14508662017469642,0.3380952380952381,21
distilgpt2,15,0.2739705283189094,0.10535991330526322,0.3625,28
distilgpt2,20,0.3489746528019965,0.13658288241511202,0.42,30
distilgpt2,25,0.41542801786857275,0.12006602877133674,0.47583333333333333,30
distilgpt2,40,0.5758998895841001,0.0,0.625,30
distilroberta-base,10,0.23349303910121272,0.1280382591094501,0.3472222222222222,18
distilroberta-base,15,0.32786468304618327,0.14405698512453877,0.42857142857142855,28
distilroberta-base,20,0.40088582346107343,0.12439583308728275,0.4732758620689655,29
distilroberta-base,25,0.5553761358807171,0.1423781022623149,0.6166666666666667,30
distilroberta-base,40,0.7968253968253968,0.0,0.825,30
gpt2,10,0.1592842656516925,0.060552678380151825,0.26666666666666666,18
gpt2,15,0.20545465789635517,0.09888098071333569,0.30624999999999997,28
gpt2,20,0.23161760850894508,0.10372465818947132,0.32749999999999996,30
gpt2,25,0.28180391073680255,0.09213970740121669,0.365,30
gpt2,40,0.3910086118814772,0.0,0.475,30
roberta-base,10,0.23436997630246229,0.09502857931224186,0.3354166666666667,24
roberta-base,15,0.28655868525216854,0.11723090146130577,0.39741379310344827,29
roberta-base,20,0.38000879410529964,0.09026394214653476,0.4766666666666667,30
roberta-base,25,0.4476090368371795,0.11468117276143248,0.5358333333333333,30
roberta-base,40,0.5276190476190477,0.0,0.6,30
