model,feature,acc,f1,baseline
bert-base-uncased,norm_only,0.375,0.2950367371420003,0.2
bert-base-uncased,unit_delta_direction_only,0.7,0.6896892911010558,0.2
bert-base-uncased,full_delta_normalized,0.7,0.6896892911010558,0.2
bert-base-uncased,raw_delta_scaled,0.575,0.5492429792429793,0.2
distilroberta-base,norm_only,0.575,0.5373626373626375,0.2
distilroberta-base,unit_delta_direction_only,0.825,0.7968253968253968,0.2
distilroberta-base,full_delta_normalized,0.825,0.7968253968253968,0.2
distilroberta-base,raw_delta_scaled,0.55,0.47606837606837604,0.2
roberta-base,norm_only,0.425,0.34666210982000456,0.2
roberta-base,unit_delta_direction_only,0.6,0.5276190476190477,0.2
roberta-base,full_delta_normalized,0.6,0.5276190476190477,0.2
roberta-base,raw_delta_scaled,0.475,0.39575757575757575,0.2
gpt2,norm_only,0.225,0.18761904761904763,0.2
gpt2,unit_delta_direction_only,0.475,0.3910086118814772,0.2
gpt2,full_delta_normalized,0.475,0.3910086118814772,0.2
gpt2,raw_delta_scaled,0.4,0.24545454545454545,0.2
distilgpt2,norm_only,0.3,0.23383838383838382,0.2
distilgpt2,unit_delta_direction_only,0.625,0.5758998895841001,0.2
distilgpt2,full_delta_normalized,0.625,0.5758998895841001,0.2
distilgpt2,raw_delta_scaled,0.4,0.2625386996904025,0.2
