source_model,target_model,alignment_size,repeat,acc,f1
roberta-base,bert-base-uncased,2,0,0.192,0.09290649227361428
roberta-base,bert-base-uncased,2,1,0.32,0.2537738073406513
roberta-base,bert-base-uncased,2,2,0.2,0.07059559559559561
roberta-base,bert-base-uncased,2,3,0.184,0.07030571577727694
roberta-base,bert-base-uncased,2,4,0.246,0.15040001576999462
roberta-base,bert-base-uncased,2,5,0.228,0.12170488580088548
roberta-base,bert-base-uncased,2,6,0.264,0.18881844777477638
roberta-base,bert-base-uncased,2,7,0.164,0.08139196013830007
roberta-base,bert-base-uncased,2,8,0.184,0.07321438326200591
roberta-base,bert-base-uncased,2,9,0.14,0.08185328034501438
roberta-base,bert-base-uncased,2,10,0.228,0.12508915595949344
roberta-base,bert-base-uncased,2,11,0.202,0.07417366946778711
roberta-base,bert-base-uncased,2,12,0.208,0.08546626984126984
roberta-base,bert-base-uncased,2,13,0.262,0.15913223140495866
roberta-base,bert-base-uncased,2,14,0.242,0.13985783193703988
roberta-base,bert-base-uncased,2,15,0.312,0.20234185512946573
roberta-base,bert-base-uncased,2,16,0.204,0.08448574672802248
roberta-base,bert-base-uncased,2,17,0.164,0.08343695969521867
roberta-base,bert-base-uncased,2,18,0.238,0.14492091649455968
roberta-base,bert-base-uncased,2,19,0.262,0.14668471870880392
roberta-base,bert-base-uncased,4,0,0.206,0.1399073975323171
roberta-base,bert-base-uncased,4,1,0.212,0.1235370491539693
roberta-base,bert-base-uncased,4,2,0.21,0.1550639253462009
roberta-base,bert-base-uncased,4,3,0.314,0.23518626466746548
roberta-base,bert-base-uncased,4,4,0.15,0.1340827279971567
roberta-base,bert-base-uncased,4,5,0.218,0.12256379141807397
roberta-base,bert-base-uncased,4,6,0.214,0.11311087575815522
roberta-base,bert-base-uncased,4,7,0.296,0.26728975405202937
roberta-base,bert-base-uncased,4,8,0.374,0.35314625995166804
roberta-base,bert-base-uncased,4,9,0.256,0.16802834407384454
roberta-base,bert-base-uncased,4,10,0.282,0.16402139037433155
roberta-base,bert-base-uncased,4,11,0.236,0.17932532140845014
roberta-base,bert-base-uncased,4,12,0.244,0.15900992447535386
roberta-base,bert-base-uncased,4,13,0.278,0.2537179351167798
roberta-base,bert-base-uncased,4,14,0.248,0.1723601164578577
roberta-base,bert-base-uncased,4,15,0.276,0.18622196664749854
roberta-base,bert-base-uncased,4,16,0.22,0.1123310810810811
roberta-base,bert-base-uncased,4,17,0.256,0.1493174484983867
roberta-base,bert-base-uncased,4,18,0.248,0.16885423435131036
roberta-base,bert-base-uncased,4,19,0.406,0.31166554545435843
roberta-base,bert-base-uncased,8,0,0.378,0.3368693990687601
roberta-base,bert-base-uncased,8,1,0.356,0.31082088878421626
roberta-base,bert-base-uncased,8,2,0.42,0.3759550687059897
roberta-base,bert-base-uncased,8,3,0.266,0.16996815902178003
roberta-base,bert-base-uncased,8,4,0.204,0.07573602117954771
roberta-base,bert-base-uncased,8,5,0.404,0.3798481643841021
roberta-base,bert-base-uncased,8,6,0.33,0.24371678881333617
roberta-base,bert-base-uncased,8,7,0.27,0.18131789480608532
roberta-base,bert-base-uncased,8,8,0.526,0.5266424594527649
roberta-base,bert-base-uncased,8,9,0.216,0.2405365325910734
roberta-base,bert-base-uncased,8,10,0.294,0.23280080593211055
roberta-base,bert-base-uncased,8,11,0.422,0.39573564492405067
roberta-base,bert-base-uncased,8,12,0.29,0.2703455064438881
roberta-base,bert-base-uncased,8,13,0.294,0.23409143091889623
roberta-base,bert-base-uncased,8,14,0.364,0.318124736376793
roberta-base,bert-base-uncased,8,15,0.306,0.28091778297503417
roberta-base,bert-base-uncased,8,16,0.218,0.16076752063662197
roberta-base,bert-base-uncased,8,17,0.392,0.3500515976985301
roberta-base,bert-base-uncased,8,18,0.438,0.39552214913271405
roberta-base,bert-base-uncased,8,19,0.23,0.185047857792512
roberta-base,bert-base-uncased,16,0,0.32,0.29649092465507026
roberta-base,bert-base-uncased,16,1,0.646,0.6491969607193955
roberta-base,bert-base-uncased,16,2,0.42,0.39067869888477746
roberta-base,bert-base-uncased,16,3,0.562,0.5574792959865844
roberta-base,bert-base-uncased,16,4,0.54,0.5174969067076458
roberta-base,bert-base-uncased,16,5,0.476,0.4760761965669801
roberta-base,bert-base-uncased,16,6,0.33,0.33799828640675184
roberta-base,bert-base-uncased,16,7,0.518,0.506649079596337
roberta-base,bert-base-uncased,16,8,0.486,0.4399299158407987
roberta-base,bert-base-uncased,16,9,0.51,0.5369985654885443
roberta-base,bert-base-uncased,16,10,0.514,0.4903186951986071
roberta-base,bert-base-uncased,16,11,0.602,0.6164083039355361
roberta-base,bert-base-uncased,16,12,0.546,0.5443455376579349
roberta-base,bert-base-uncased,16,13,0.384,0.3077339387717682
roberta-base,bert-base-uncased,16,14,0.364,0.30818836760444435
roberta-base,bert-base-uncased,16,15,0.39,0.37318981710580157
roberta-base,bert-base-uncased,16,16,0.454,0.3942407282691308
roberta-base,bert-base-uncased,16,17,0.434,0.33787093215664643
roberta-base,bert-base-uncased,16,18,0.614,0.6145197527746527
roberta-base,bert-base-uncased,16,19,0.428,0.4196411138964387
roberta-base,bert-base-uncased,32,0,0.56,0.5492385271000486
roberta-base,bert-base-uncased,32,1,0.53,0.551144775251256
roberta-base,bert-base-uncased,32,2,0.574,0.5700173510181866
roberta-base,bert-base-uncased,32,3,0.604,0.6125703879863673
roberta-base,bert-base-uncased,32,4,0.524,0.519215718847828
roberta-base,bert-base-uncased,32,5,0.52,0.5114558200775773
roberta-base,bert-base-uncased,32,6,0.604,0.5977529952501588
roberta-base,bert-base-uncased,32,7,0.704,0.6959522163758365
roberta-base,bert-base-uncased,32,8,0.53,0.5272425051591604
roberta-base,bert-base-uncased,32,9,0.618,0.6149683006341796
roberta-base,bert-base-uncased,32,10,0.608,0.5952321324761707
roberta-base,bert-base-uncased,32,11,0.692,0.6937210605492707
roberta-base,bert-base-uncased,32,12,0.602,0.5981001586057115
roberta-base,bert-base-uncased,32,13,0.708,0.6980521478433076
roberta-base,bert-base-uncased,32,14,0.646,0.6482730571444877
roberta-base,bert-base-uncased,32,15,0.572,0.5705661235511029
roberta-base,bert-base-uncased,32,16,0.552,0.5128498416117672
roberta-base,bert-base-uncased,32,17,0.532,0.5281258694684365
roberta-base,bert-base-uncased,32,18,0.498,0.529870030761919
roberta-base,bert-base-uncased,32,19,0.476,0.5164376144883758
roberta-base,bert-base-uncased,64,0,0.668,0.6492681943660205
roberta-base,bert-base-uncased,64,1,0.646,0.6317348376087193
roberta-base,bert-base-uncased,64,2,0.626,0.6457963735315988
roberta-base,bert-base-uncased,64,3,0.618,0.5923025812298117
roberta-base,bert-base-uncased,64,4,0.592,0.5699022742098309
roberta-base,bert-base-uncased,64,5,0.6,0.5848454923092712
roberta-base,bert-base-uncased,64,6,0.594,0.5905950251530101
roberta-base,bert-base-uncased,64,7,0.614,0.5886301625197419
roberta-base,bert-base-uncased,64,8,0.644,0.6300072164847819
roberta-base,bert-base-uncased,64,9,0.508,0.5045568769043941
roberta-base,bert-base-uncased,64,10,0.622,0.6105536341339366
roberta-base,bert-base-uncased,64,11,0.674,0.6662245652445289
roberta-base,bert-base-uncased,64,12,0.61,0.5815654812798492
roberta-base,bert-base-uncased,64,13,0.622,0.6091388354738531
roberta-base,bert-base-uncased,64,14,0.6,0.5936576328105014
roberta-base,bert-base-uncased,64,15,0.58,0.5853794463843016
roberta-base,bert-base-uncased,64,16,0.71,0.714454030955024
roberta-base,bert-base-uncased,64,17,0.628,0.6267740380194253
roberta-base,bert-base-uncased,64,18,0.642,0.6096957687718694
roberta-base,bert-base-uncased,64,19,0.74,0.7431269639293869
roberta-base,bert-base-uncased,100,0,0.572,0.5860146630792614
roberta-base,bert-base-uncased,100,1,0.65,0.6472935614082957
roberta-base,bert-base-uncased,100,2,0.6,0.6082139704764538
roberta-base,bert-base-uncased,100,3,0.6,0.6050049394392288
roberta-base,bert-base-uncased,100,4,0.592,0.5715570908747801
roberta-base,bert-base-uncased,100,5,0.634,0.6363110840165916
roberta-base,bert-base-uncased,100,6,0.672,0.6615784391765536
roberta-base,bert-base-uncased,100,7,0.654,0.6598167903344678
roberta-base,bert-base-uncased,100,8,0.592,0.5731220314202836
roberta-base,bert-base-uncased,100,9,0.632,0.6078744551261981
roberta-base,bert-base-uncased,100,10,0.628,0.6226022349900073
roberta-base,bert-base-uncased,100,11,0.66,0.6440766310077266
roberta-base,bert-base-uncased,100,12,0.638,0.6267002806869433
roberta-base,bert-base-uncased,100,13,0.62,0.6156147646566182
roberta-base,bert-base-uncased,100,14,0.584,0.5816570643705724
roberta-base,bert-base-uncased,100,15,0.628,0.6428837028337477
roberta-base,bert-base-uncased,100,16,0.58,0.5771092769893941
roberta-base,bert-base-uncased,100,17,0.588,0.5755345062464345
roberta-base,bert-base-uncased,100,18,0.618,0.6342717086246268
roberta-base,bert-base-uncased,100,19,0.65,0.6447736493018557
roberta-base,bert-base-uncased,600,0,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,1,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,2,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,3,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,4,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,5,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,6,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,7,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,8,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,9,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,10,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,11,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,12,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,13,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,14,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,15,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,16,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,17,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,18,0.646,0.6383104257113752
roberta-base,bert-base-uncased,600,19,0.646,0.6383104257113752
