model,train_size,mean_f1,std_f1,mean_acc,n
bert-base-uncased,25,0.38170759649291025,0.11816033773261415,0.45200000000000007,20
bert-base-uncased,50,0.5539449476541127,0.08059450732277086,0.5934999999999999,20
bert-base-uncased,100,0.658624202517331,0.04242199046481424,0.6737,20
bert-base-uncased,200,0.6995639744352289,0.017345730366531625,0.7104,20
bert-base-uncased,300,0.711670923862142,0.014206601518567941,0.7232999999999999,20
bert-base-uncased,500,0.7175470262426784,0.0,0.732,20
distilroberta-base,25,0.3704354050663823,0.10343002060736282,0.44800000000000006,20
distilroberta-base,50,0.5485567066462222,0.07680878659494873,0.6015,20
distilroberta-base,100,0.5762611478740941,0.07538926348676094,0.6279,20
distilroberta-base,200,0.6256575202976665,0.04948719183584181,0.6592,20
distilroberta-base,300,0.683023839591572,0.046921271826064904,0.7048,20
distilroberta-base,500,0.721816357111846,0.0,0.736,20
microsoft/deberta-v3-base,25,0.3742860353263061,0.08820088698684588,0.44842105263157894,19
microsoft/deberta-v3-base,50,0.5717993241845387,0.08917998157024994,0.5966,20
microsoft/deberta-v3-base,100,0.6513479263054038,0.03682208580911075,0.6672,20
microsoft/deberta-v3-base,200,0.6816608882842263,0.017559040005209997,0.6959,20
microsoft/deberta-v3-base,300,0.6899733691048321,0.017890326981184774,0.7049,20
microsoft/deberta-v3-base,500,0.6989604890721121,0.0,0.712,20
roberta-base,25,0.34781866911092096,0.06835339494457399,0.43873684210526315,19
roberta-base,50,0.46197183602897296,0.09562209639479666,0.5223,20
roberta-base,100,0.5652701569492845,0.06777376522768008,0.6221,20
roberta-base,200,0.6428355494188915,0.04505994910260572,0.6806,20
roberta-base,300,0.6765206720347872,0.02997440834907239,0.7066,20
roberta-base,500,0.7251354634280238,0.0,0.746,20
sentence-transformers/all-MiniLM-L6-v2,25,0.5044877970279064,0.10826913586490232,0.5759000000000001,20
sentence-transformers/all-MiniLM-L6-v2,50,0.6609117456998651,0.09466391335247086,0.6985,20
sentence-transformers/all-MiniLM-L6-v2,100,0.7298137246773473,0.061614337091822055,0.7445,20
sentence-transformers/all-MiniLM-L6-v2,200,0.7649600019267928,0.033753199604715595,0.7767000000000001,20
sentence-transformers/all-MiniLM-L6-v2,300,0.7651460227622684,0.027812498272906182,0.7748,20
sentence-transformers/all-MiniLM-L6-v2,500,0.7556993289377506,0.0,0.764,20
sentence-transformers/all-mpnet-base-v2,25,0.49319485847224315,0.07110053007829417,0.5642105263157894,19
sentence-transformers/all-mpnet-base-v2,50,0.664460937524995,0.11659422391082166,0.7022999999999999,20
sentence-transformers/all-mpnet-base-v2,100,0.7105519751840947,0.05569832228906778,0.7387,20
sentence-transformers/all-mpnet-base-v2,200,0.7508723806192552,0.03325633617057472,0.7669,20
sentence-transformers/all-mpnet-base-v2,300,0.7487574896193608,0.0212428953418661,0.7618,20
sentence-transformers/all-mpnet-base-v2,500,0.7420568653415152,0.0,0.752,20
