train_model,test_model,raw_acc,raw_f1,aligned_acc,aligned_f1,gain_f1,common_dim_raw_pca,source_raw_dim,target_raw_dim
bert-base-uncased,bert-base-uncased,0.718,0.7036373466668044,0.724,0.7082936551768151,0.004656308510010643,64,768,768
bert-base-uncased,roberta-base,0.29,0.2462072183356395,0.706,0.6498234346398973,0.4036162163042578,64,768,768
bert-base-uncased,distilroberta-base,0.212,0.23168259424660934,0.682,0.6132691468617952,0.3815865526151859,64,768,768
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,0.178,0.16572941573792638,0.768,0.7538170115036008,0.5880875957656744,64,768,384
bert-base-uncased,sentence-transformers/all-mpnet-base-v2,0.16,0.15171998192068809,0.858,0.8570105256098959,0.7052905436892078,64,768,768
bert-base-uncased,microsoft/deberta-v3-base,0.124,0.12643930541033682,0.704,0.6845208126950875,0.5580815072847507,64,768,768
roberta-base,bert-base-uncased,0.198,0.19945882256041925,0.702,0.6789906125053523,0.47953178994493306,64,768,768
roberta-base,roberta-base,0.68,0.6441475105703924,0.714,0.6772675557454505,0.033120045175058066,64,768,768
roberta-base,distilroberta-base,0.448,0.4373816645690323,0.738,0.6890647576915783,0.25168309312254594,64,768,768
roberta-base,sentence-transformers/all-MiniLM-L6-v2,0.16,0.1511502052773171,0.792,0.768514878953126,0.6173646736758089,64,768,384
roberta-base,sentence-transformers/all-mpnet-base-v2,0.096,0.0931444344334199,0.786,0.7804289533123703,0.6872845188789504,64,768,768
roberta-base,microsoft/deberta-v3-base,0.506,0.47719465144548384,0.636,0.6276559586876973,0.15046130724221346,64,768,768
distilroberta-base,bert-base-uncased,0.318,0.33686516624323704,0.67,0.6137021406068748,0.27683697436363774,64,768,768
distilroberta-base,roberta-base,0.502,0.47759050487358967,0.686,0.6339397575802788,0.1563492527066891,64,768,768
distilroberta-base,distilroberta-base,0.648,0.6211052141162978,0.736,0.7229892366222064,0.10188402250590856,64,768,768
distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,0.094,0.09947446027263114,0.788,0.7384064101485334,0.6389319498759022,64,768,384
distilroberta-base,sentence-transformers/all-mpnet-base-v2,0.214,0.19833201551263227,0.766,0.7550407862758636,0.5567087707632313,64,768,768
distilroberta-base,microsoft/deberta-v3-base,0.206,0.17395662448310484,0.624,0.6093627565750064,0.43540613209190154,64,768,768
sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,0.398,0.3490506294462586,0.688,0.6806657552611706,0.331615125814912,64,384,768
sentence-transformers/all-MiniLM-L6-v2,roberta-base,0.14,0.12542043284646168,0.676,0.6085628934661751,0.48314246061971344,64,384,768
sentence-transformers/all-MiniLM-L6-v2,distilroberta-base,0.14,0.1319834209898403,0.662,0.5876716424014757,0.45568822141163545,64,384,768
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,0.768,0.7470732051695846,0.792,0.7763727161838034,0.029299511014218793,64,384,384
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,0.242,0.2265264356015801,0.774,0.7582615545746682,0.5317351189730881,64,384,768
sentence-transformers/all-MiniLM-L6-v2,microsoft/deberta-v3-base,0.156,0.14439873124223257,0.722,0.7126893132076815,0.5682905819654489,64,384,768
sentence-transformers/all-mpnet-base-v2,bert-base-uncased,0.238,0.1959279184405885,0.646,0.6090215612099256,0.4130936427693371,64,768,768
sentence-transformers/all-mpnet-base-v2,roberta-base,0.306,0.30840082461651663,0.686,0.6122214404465541,0.3038206158300375,64,768,768
sentence-transformers/all-mpnet-base-v2,distilroberta-base,0.27,0.2738993958272756,0.578,0.5322147931313219,0.2583153973040463,64,768,768
sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,0.356,0.3468954379673927,0.716,0.6681281215989465,0.32123268363155383,64,768,384
sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,0.734,0.662275927784049,0.762,0.7145861261882733,0.05231019840422435,64,768,768
sentence-transformers/all-mpnet-base-v2,microsoft/deberta-v3-base,0.242,0.19597185200980916,0.706,0.6894125794001844,0.49344072739037526,64,768,768
microsoft/deberta-v3-base,bert-base-uncased,0.106,0.10280115137948873,0.782,0.7613906874812124,0.6585895361017237,64,768,768
microsoft/deberta-v3-base,roberta-base,0.512,0.4724270980194999,0.734,0.6761937112756785,0.20376661325617862,64,768,768
microsoft/deberta-v3-base,distilroberta-base,0.394,0.35392266551577617,0.648,0.5849340317091299,0.23101136619335377,64,768,768
microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,0.218,0.2227781579523024,0.782,0.7730443716277334,0.550266213675431,64,768,384
microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,0.224,0.2289937529181781,0.822,0.8315592311574014,0.6025654782392232,64,768,768
microsoft/deberta-v3-base,microsoft/deberta-v3-base,0.712,0.6982436407411838,0.708,0.694233410484854,-0.00401023025632985,64,768,768
